UUID,Council Code,Council Name,Data Type,Data Source,Age Band,Finance Type,Comparative totals,Value
8510101,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,4382
8510102,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,479
8510201,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,22174
8510202,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,8176
8510301,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,9802
8510302,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,0
8510401,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,7064
8510402,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,1153
8510502,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,2726
8510601,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,1985
8510602,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,0
8510701,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,3410
8510702,106,Gateshead,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,326
8511101,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,4277
8511102,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,146
8511201,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,10626
8511202,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,877
8511301,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,1792
8511302,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,0
8511401,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,2098
8511402,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,251
8511502,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,1118
8511601,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,2946
8511602,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,0
8511701,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,8388
8511702,106,Gateshead,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,300
8512101,106,Gateshead,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,7657
8512102,106,Gateshead,Mandatory,Bridging Year,-,Income,Other Expenditure,345
8513203,106,Gateshead,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,106,Gateshead,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,632
8326110,107,Newcastle upon Tyne,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,2746.384
8328110,107,Newcastle upon Tyne,Voluntay,Additional Data,-,Income,Income from Better Care Fund,9164
8510101,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,5141
8510102,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1161
8510201,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,25540.81148
8510202,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,6577.537
8510301,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,8259
8510302,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,2115
8510401,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,12467
8510402,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,4364
8510502,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,3033.458
8510601,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,1304
8510602,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,329.955
8510701,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,4630
8510702,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,1103
8511101,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,5141
8511102,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,1161
8511201,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,7342
8511202,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,1905.902
8511301,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,8774
8511302,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,2113
8511401,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,6409
8511402,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,1392
8511502,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,609.603
8511601,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,6443
8511602,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,1630.461
8511701,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,21741
8511702,107,Newcastle upon Tyne,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,5656
8512101,107,Newcastle upon Tyne,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,1912
8512102,107,Newcastle upon Tyne,Mandatory,Bridging Year,-,Income,Other Expenditure,319
8513203,107,Newcastle upon Tyne,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,107,Newcastle upon Tyne,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,2746.384
8326110,108,North Tyneside,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,0
8328110,108,North Tyneside,Voluntay,Additional Data,-,Income,Income from Better Care Fund,15.233
8510101,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,4577.8904
8510102,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1260.7279
8510201,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,19265.984
8510202,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,7249.384
8510301,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,8166.629
8510302,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,3500.868
8510401,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,7791.9774
8510402,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,6014.3471
8510502,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,5843.607
8510601,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,822.027
8510602,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,283.908
8510701,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,3073.44
8510702,108,North Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,936.183
8511101,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,1860.1716
8511102,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,526.6191
8511201,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,5459.722
8511202,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,1004.087
8511301,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,669.454
8511302,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,110.77
8511401,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,4218.3436
8511402,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,1742.4579
8511502,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,239.832
8511601,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,5989.885
8511602,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,1794.636
8511701,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,14926.669
8511702,108,North Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,3531.78
8512101,108,North Tyneside,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,3121.34
8512102,108,North Tyneside,Mandatory,Bridging Year,-,Income,Other Expenditure,1814.65
8513203,108,North Tyneside,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,108,North Tyneside,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,0
8326110,109,South Tyneside,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,0
8328110,109,South Tyneside,Voluntay,Additional Data,-,Income,Income from Better Care Fund,
8510101,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,5981
8510102,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1482
8510201,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,25766
8510202,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,13205
8510301,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,7930
8510302,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,1357
8510401,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,6066
8510402,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,1847
8510502,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,2105
8510601,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,2088
8510602,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,264
8510701,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,4360
8510702,109,South Tyneside,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,95
8511101,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,2563
8511102,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,635
8511201,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,9560
8511202,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,4664
8511301,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,1168
8511302,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,764
8511401,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,1657
8511402,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,757
8511502,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,755
8511601,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,3540
8511602,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,1217
8511701,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,9779
8511702,109,South Tyneside,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,1813
8512101,109,South Tyneside,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,716
8512102,109,South Tyneside,Mandatory,Bridging Year,-,Income,Other Expenditure,333
8513203,109,South Tyneside,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,109,South Tyneside,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,0
8326110,110,Sunderland,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,3441
8328110,110,Sunderland,Voluntay,Additional Data,-,Income,Income from Better Care Fund,
8510101,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,8685
8510102,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,228
8510201,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,38071
8510202,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,11191
8510301,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,2841
8510302,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,628
8510401,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,5247
8510402,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,377
8510502,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,2857
8510601,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,1287
8510602,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,31
8510701,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,1527
8510702,110,Sunderland,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,614
8511101,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,4986
8511102,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,683
8511201,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,18565
8511202,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,1398
8511301,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,5241
8511302,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,234
8511401,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,3961
8511402,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,361
8511502,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,1723
8511601,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,4236
8511602,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,34
8511701,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,7728
8511702,110,Sunderland,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,1009
8512101,110,Sunderland,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,190
8512102,110,Sunderland,Mandatory,Bridging Year,-,Income,Other Expenditure,69
8513203,110,Sunderland,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,110,Sunderland,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,3441
8326110,111,Hartlepool,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,674
8328110,111,Hartlepool,Voluntay,Additional Data,-,Income,Income from Better Care Fund,6151
8510101,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,4268
8510102,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1753
8510201,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,15212
8510202,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,8018
8510301,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,2922
8510302,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,394
8510401,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,2620
8510402,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,1001
8510502,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,1522
8510601,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,1415
8510602,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,529
8510701,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,3034
8510702,111,Hartlepool,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,339
8511101,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,3274
8511102,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,679
8511201,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,3627
8511202,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,1550
8511301,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,1772
8511302,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,1256
8511401,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,802
8511402,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,206
8511502,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,729
8511601,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,4040
8511602,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,834
8511701,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Other Expenditure,4194
8511702,111,Hartlepool,Mandatory,Bridging Year,Age 18 to 64,Income,Other Expenditure,97
8512101,111,Hartlepool,Mandatory,Bridging Year,-,Expenditure,Other Expenditure,715
8512102,111,Hartlepool,Mandatory,Bridging Year,-,Income,Other Expenditure,341
8513203,111,Hartlepool,Mandatory,Bridging Year,-,Expenditure,Other non personal social services expenditure,0
8513303,111,Hartlepool,Mandatory,Bridging Year,-,Income,Income from Specific and Special Grants,674
8326110,112,Middlesbrough,Mandatory,Additional Data,-,Income,Income from Specific and Special Grants,381
8328110,112,Middlesbrough,Voluntay,Additional Data,-,Income,Income from Better Care Fund,7025
8510101,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Assessment and Care management,3583
8510102,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Income,Assessment and Care management,1231
8510201,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Residential and Nursing care,20016
8510202,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Income,Residential and Nursing care,9025
8510301,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Home care services,4162
8510302,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Income,Home care services,1492
8510401,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Community-based services,4931
8510402,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Income,Community-based services,3367
8510502,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Income,Fairer charging income,1370
8510601,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Direct Payments,1868
8510602,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Income,Direct Payments,521
8510701,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Expenditure,Other Expenditure,1342
8510702,112,Middlesbrough,Mandatory,Bridging Year,Age 65 and over,Income,Other Expenditure,682
8511101,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Assessment and Care management,2389
8511102,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Income,Assessment and Care management,820
8511201,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Residential and Nursing care,11504
8511202,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Income,Residential and Nursing care,4355
8511301,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Home care services,1116
8511302,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Income,Home care services,349
8511401,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Community-based services,5749
8511402,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Income,Community-based services,2439
8511502,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Income,Fairer charging income,1129
8511601,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Expenditure,Direct Payments,5204
8511602,112,Middlesbrough,Mandatory,Bridging Year,Age 18 to 64,Income,Direct Payments,2099
