UUID,Council Code,Council Name,Care Type,Activity Provision,Age Bands,Primary support reason,Long Term Support Setting,Short Term Purpose,Data Type,Value,Notes
8611602,104,Northumberland,Long term,External,Age 65 and over,Physical support,Nursing,-,Mandatory,8308,
8611702,104,Northumberland,Long term,External,Age 65 and over,Sensory support,Nursing,-,Mandatory,138,
8611802,104,Northumberland,Long term,External,Age 65 and over,Support with memory and cognition,Nursing,-,Mandatory,5778,
8611902,104,Northumberland,Long term,External,Age 65 and over,Learning disability support,Nursing,-,Mandatory,141,
8612002,104,Northumberland,Long term,External,Age 65 and over,Mental health support,Nursing,-,Mandatory,2020,
8622101,104,Northumberland,Short term,In house,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,6451,
8622102,104,Northumberland,Short term,External,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,0,
8622201,104,Northumberland,Short term,In house,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,22,
8622202,104,Northumberland,Short term,External,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622301,104,Northumberland,Short term,In house,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,6,
8622302,104,Northumberland,Short term,External,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622401,104,Northumberland,Short term,In house,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,118,
8622402,104,Northumberland,Short term,External,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,0,
8622501,104,Northumberland,Short term,In house,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,118,
8622502,104,Northumberland,Short term,External,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,0,
8622601,104,Northumberland,Short term,In house,Age 65 and over,Physical support,-,To maximise independence,Mandatory,41415,
8622602,104,Northumberland,Short term,External,Age 65 and over,Physical support,-,To maximise independence,Mandatory,0,
8622701,104,Northumberland,Short term,In house,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,74,
8622702,104,Northumberland,Short term,External,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,0,
8622801,104,Northumberland,Short term,In house,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,846,
8622802,104,Northumberland,Short term,External,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622901,104,Northumberland,Short term,In house,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,118,
8622902,104,Northumberland,Short term,External,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8623001,104,Northumberland,Short term,In house,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,679,
8623002,104,Northumberland,Short term,External,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,0,
8623101,104,Northumberland,Short term,In house,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,8374,
8623102,104,Northumberland,Short term,External,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,0,
8623201,104,Northumberland,Short term,In house,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,6,
8623202,104,Northumberland,Short term,External,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,0,
8623301,104,Northumberland,Short term,In house,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,112,
8623302,104,Northumberland,Short term,External,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8623401,104,Northumberland,Short term,In house,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,84,
8623402,104,Northumberland,Short term,External,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,0,
8623501,104,Northumberland,Short term,In house,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,174,
8623502,104,Northumberland,Short term,External,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,0,
8623601,104,Northumberland,Short term,In house,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,16798,
8623602,104,Northumberland,Short term,External,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,0,
8623701,104,Northumberland,Short term,In house,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,6,
8623702,104,Northumberland,Short term,External,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,0,
8623801,104,Northumberland,Short term,In house,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,258,
8623802,104,Northumberland,Short term,External,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8623901,104,Northumberland,Short term,In house,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,28,
8623902,104,Northumberland,Short term,External,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,0,
8624001,104,Northumberland,Short term,In house,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,258,
8624002,104,Northumberland,Short term,External,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,0,
8624101,104,Northumberland,Short term,In house,Age 85 and over,Physical support,-,To maximise independence,Voluntary,16243,
8624102,104,Northumberland,Short term,External,Age 85 and over,Physical support,-,To maximise independence,Voluntary,0,
8624201,104,Northumberland,Short term,In house,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,62,
8624202,104,Northumberland,Short term,External,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,0,
8624301,104,Northumberland,Short term,In house,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,476,
8624302,104,Northumberland,Short term,External,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,0,
8624401,104,Northumberland,Short term,In house,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,6,
8624402,104,Northumberland,Short term,External,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,0,
8624501,104,Northumberland,Short term,In house,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,247,
8624502,104,Northumberland,Short term,External,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,0,
8632101,104,Northumberland,Long term,In house,Age 65 to 74,Physical support,Residential,-,Voluntary,0,
8632102,104,Northumberland,Long term,External,Age 65 to 74,Physical support,Residential,-,Voluntary,1922,
8632201,104,Northumberland,Long term,In house,Age 65 to 74,Sensory support,Residential,-,Voluntary,0,
8632202,104,Northumberland,Long term,External,Age 65 to 74,Sensory support,Residential,-,Voluntary,0,
8632301,104,Northumberland,Long term,In house,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,0,
8632302,104,Northumberland,Long term,External,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,1515,
8632401,104,Northumberland,Long term,In house,Age 65 to 74,Learning disability support,Residential,-,Voluntary,333,
8632402,104,Northumberland,Long term,External,Age 65 to 74,Learning disability support,Residential,-,Voluntary,2068,
8632501,104,Northumberland,Long term,In house,Age 65 to 74,Mental health support,Residential,-,Voluntary,0,
8632502,104,Northumberland,Long term,External,Age 65 to 74,Mental health support,Residential,-,Voluntary,874,
8632601,104,Northumberland,Long term,In house,Age 75 to 84,Physical support,Residential,-,Voluntary,0,
8632602,104,Northumberland,Long term,External,Age 75 to 84,Physical support,Residential,-,Voluntary,2947,
8632701,104,Northumberland,Long term,In house,Age 75 to 84,Sensory support,Residential,-,Voluntary,0,
8632702,104,Northumberland,Long term,External,Age 75 to 84,Sensory support,Residential,-,Voluntary,2,
8632801,104,Northumberland,Long term,In house,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,0,
8632802,104,Northumberland,Long term,External,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,8667,
8632901,104,Northumberland,Long term,In house,Age 75 to 84,Learning disability support,Residential,-,Voluntary,161,
8632902,104,Northumberland,Long term,External,Age 75 to 84,Learning disability support,Residential,-,Voluntary,977,
8633001,104,Northumberland,Long term,In house,Age 75 to 84,Mental health support,Residential,-,Voluntary,0,
8633002,104,Northumberland,Long term,External,Age 75 to 84,Mental health support,Residential,-,Voluntary,1786,
8633101,104,Northumberland,Long term,In house,Age 85 and over,Physical support,Residential,-,Voluntary,0,
8633102,104,Northumberland,Long term,External,Age 85 and over,Physical support,Residential,-,Voluntary,9887,
8633201,104,Northumberland,Long term,In house,Age 85 and over,Sensory support,Residential,-,Voluntary,0,
8633202,104,Northumberland,Long term,External,Age 85 and over,Sensory support,Residential,-,Voluntary,325,
8633301,104,Northumberland,Long term,In house,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,0,
8633302,104,Northumberland,Long term,External,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,17094,
8633401,104,Northumberland,Long term,In house,Age 85 and over,Learning disability support,Residential,-,Voluntary,52,
8633402,104,Northumberland,Long term,External,Age 85 and over,Learning disability support,Residential,-,Voluntary,287,
8633501,104,Northumberland,Long term,In house,Age 85 and over,Mental health support,Residential,-,Voluntary,0,
8633502,104,Northumberland,Long term,External,Age 85 and over,Mental health support,Residential,-,Voluntary,3632,
8633602,104,Northumberland,Long term,External,Age 65 to 74,Physical support,Nursing,-,Voluntary,1148,
8633702,104,Northumberland,Long term,External,Age 65 to 74,Sensory support,Nursing,-,Voluntary,0,
8633802,104,Northumberland,Long term,External,Age 65 to 74,Support with memory and cognition,Nursing,-,Voluntary,678,
8633902,104,Northumberland,Long term,External,Age 65 to 74,Learning disability support,Nursing,-,Voluntary,22,
8634002,104,Northumberland,Long term,External,Age 65 to 74,Mental health support,Nursing,-,Voluntary,522,
8634102,104,Northumberland,Long term,External,Age 75 to 84,Physical support,Nursing,-,Voluntary,2082,
8634202,104,Northumberland,Long term,External,Age 75 to 84,Sensory support,Nursing,-,Voluntary,59,
8634302,104,Northumberland,Long term,External,Age 75 to 84,Support with memory and cognition,Nursing,-,Voluntary,2148,
8634402,104,Northumberland,Long term,External,Age 75 to 84,Learning disability support,Nursing,-,Voluntary,115,
8634502,104,Northumberland,Long term,External,Age 75 to 84,Mental health support,Nursing,-,Voluntary,636,
8634602,104,Northumberland,Long term,External,Age 85 and over,Physical support,Nursing,-,Voluntary,5078,
8634702,104,Northumberland,Long term,External,Age 85 and over,Sensory support,Nursing,-,Voluntary,46,
8634802,104,Northumberland,Long term,External,Age 85 and over,Support with memory and cognition,Nursing,-,Voluntary,2952,
8634902,104,Northumberland,Long term,External,Age 85 and over,Learning disability support,Nursing,-,Voluntary,4,
8635002,104,Northumberland,Long term,External,Age 85 and over,Mental health support,Nursing,-,Voluntary,862,
8610101,106,Gateshead,Long term,In house,Age 18 to 64,Physical support,Residential,-,Mandatory,0,
8610102,106,Gateshead,Long term,External,Age 18 to 64,Physical support,Residential,-,Mandatory,1017.21,
8610201,106,Gateshead,Long term,In house,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610202,106,Gateshead,Long term,External,Age 18 to 64,Sensory support,Residential,-,Mandatory,130.71,
8610301,106,Gateshead,Long term,In house,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,0,
8610302,106,Gateshead,Long term,External,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,142.71,
8610401,106,Gateshead,Long term,In house,Age 18 to 64,Learning disability support,Residential,-,Mandatory,13.14,
8610402,106,Gateshead,Long term,External,Age 18 to 64,Learning disability support,Residential,-,Mandatory,5629.36,
8610501,106,Gateshead,Long term,In house,Age 18 to 64,Mental health support,Residential,-,Mandatory,0,
8610502,106,Gateshead,Long term,External,Age 18 to 64,Mental health support,Residential,-,Mandatory,1334.5,
8610601,106,Gateshead,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,78.43,
8610602,106,Gateshead,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,13524.43,
8610701,106,Gateshead,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,0,
8610702,106,Gateshead,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,1438.36,
8610801,106,Gateshead,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,0,
8610802,106,Gateshead,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,10350.93,
8610901,106,Gateshead,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,0,
8610902,106,Gateshead,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,1479.29,
8611001,106,Gateshead,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,0,
8611002,106,Gateshead,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,6650.64,
8611102,106,Gateshead,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,382.29,
8611202,106,Gateshead,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,0,
8611302,106,Gateshead,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,130.71,
8611402,106,Gateshead,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,81.43,
