UUID,LABEL,CASSR_CODE,CASSR_NAME,Time_Period_Desc,Indicator_Desc,Characteristic_Parent,Characteristic_Child,AGE_CATEGORY,Value
92201,2015/2016,110,Sunderland,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,129507.38
92202,2015/2016,110,Sunderland,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92211,2015/2016,110,Sunderland,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,156279.13
92212,2015/2016,110,Sunderland,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92221,2015/2016,110,Sunderland,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,26771.75
92222,2015/2016,110,Sunderland,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92231,2015/2016,110,Sunderland,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92232,2015/2016,110,Sunderland,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92241,2014/2015,110,Sunderland,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92251,2014/2015,110,Sunderland,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92261,2014/2015,110,Sunderland,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92271,2014/2015,110,Sunderland,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
96102,2015/2016,110,Sunderland,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, no value recovered",Age 18-64,*
96112,2015/2016,110,Sunderland,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (written-off portion)",Age 18-64,*
96113,2015/2016,110,Sunderland,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (recovered portion)",Age 18-64,*
96122,2015/2016,110,Sunderland,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,DPA defaults: LA did not attempt recovery,Age 18-64,*
96202,2015/2016,110,Sunderland,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, no value recovered",Age 65 and over,*
96212,2015/2016,110,Sunderland,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (written-off portion)",Age 65 and over,*
96213,2015/2016,110,Sunderland,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (recovered portion)",Age 65 and over,*
96222,2015/2016,110,Sunderland,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,DPA defaults: LA did not attempt recovery,Age 65 and over,*
92101,2015/2016,111,Hartlepool UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92102,2015/2016,111,Hartlepool UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92111,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92112,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92121,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92122,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92131,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92132,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92141,2014/2015,111,Hartlepool UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92151,2014/2015,111,Hartlepool UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92161,2014/2015,111,Hartlepool UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92171,2014/2015,111,Hartlepool UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92201,2015/2016,111,Hartlepool UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,649720
92202,2015/2016,111,Hartlepool UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92211,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,257261
92212,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92221,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,295369
92222,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92231,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92232,2015/2016,111,Hartlepool UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92241,2014/2015,111,Hartlepool UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,687828
92251,2014/2015,111,Hartlepool UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,260966
92261,2014/2015,111,Hartlepool UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,259807
92271,2014/2015,111,Hartlepool UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
96102,2015/2016,111,Hartlepool UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, no value recovered",Age 18-64,*
96112,2015/2016,111,Hartlepool UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (written-off portion)",Age 18-64,*
96113,2015/2016,111,Hartlepool UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (recovered portion)",Age 18-64,*
96122,2015/2016,111,Hartlepool UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,DPA defaults: LA did not attempt recovery,Age 18-64,*
96202,2015/2016,111,Hartlepool UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, no value recovered",Age 65 and over,*
96212,2015/2016,111,Hartlepool UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (written-off portion)",Age 65 and over,*
96213,2015/2016,111,Hartlepool UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (recovered portion)",Age 65 and over,*
96222,2015/2016,111,Hartlepool UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,DPA defaults: LA did not attempt recovery,Age 65 and over,*
92101,2015/2016,112,Middlesbrough UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92102,2015/2016,112,Middlesbrough UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92111,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92112,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92121,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,2374.56
92122,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92131,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92132,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92141,2014/2015,112,Middlesbrough UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92151,2014/2015,112,Middlesbrough UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92161,2014/2015,112,Middlesbrough UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92171,2014/2015,112,Middlesbrough UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92201,2015/2016,112,Middlesbrough UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,717216.79
92202,2015/2016,112,Middlesbrough UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92211,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,321033.81
92212,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92221,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,420148.03
92222,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92231,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,225021.2
92232,2015/2016,112,Middlesbrough UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92241,2014/2015,112,Middlesbrough UA,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,519567.79
92251,2014/2015,112,Middlesbrough UA,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,456847.63
92261,2014/2015,112,Middlesbrough UA,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,508706.04
92271,2014/2015,112,Middlesbrough UA,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
96102,2015/2016,112,Middlesbrough UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, no value recovered",Age 18-64,*
96112,2015/2016,112,Middlesbrough UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (written-off portion)",Age 18-64,*
96113,2015/2016,112,Middlesbrough UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (recovered portion)",Age 18-64,*
96122,2015/2016,112,Middlesbrough UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,DPA defaults: LA did not attempt recovery,Age 18-64,*
96202,2015/2016,112,Middlesbrough UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, no value recovered",Age 65 and over,*
96212,2015/2016,112,Middlesbrough UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (written-off portion)",Age 65 and over,*
96213,2015/2016,112,Middlesbrough UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (recovered portion)",Age 65 and over,*
96222,2015/2016,112,Middlesbrough UA,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,DPA defaults: LA did not attempt recovery,Age 65 and over,*
92101,2015/2016,204,Barnsley,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92102,2015/2016,204,Barnsley,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92111,2015/2016,204,Barnsley,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92112,2015/2016,204,Barnsley,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92121,2015/2016,204,Barnsley,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92122,2015/2016,204,Barnsley,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92131,2015/2016,204,Barnsley,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92132,2015/2016,204,Barnsley,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92141,2014/2015,204,Barnsley,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92151,2014/2015,204,Barnsley,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92161,2014/2015,204,Barnsley,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92171,2014/2015,204,Barnsley,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92201,2015/2016,204,Barnsley,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92202,2015/2016,204,Barnsley,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92211,2015/2016,204,Barnsley,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92212,2015/2016,204,Barnsley,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92221,2015/2016,204,Barnsley,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92222,2015/2016,204,Barnsley,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92231,2015/2016,204,Barnsley,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92232,2015/2016,204,Barnsley,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 65 and over,*
92241,2014/2015,204,Barnsley,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92251,2014/2015,204,Barnsley,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92261,2014/2015,204,Barnsley,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
92271,2014/2015,204,Barnsley,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 65 and over,*
96102,2015/2016,204,Barnsley,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, no value recovered",Age 18-64,*
96112,2015/2016,204,Barnsley,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (written-off portion)",Age 18-64,*
96113,2015/2016,204,Barnsley,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (recovered portion)",Age 18-64,*
96122,2015/2016,204,Barnsley,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,DPA defaults: LA did not attempt recovery,Age 18-64,*
96202,2015/2016,204,Barnsley,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, no value recovered",Age 65 and over,*
96212,2015/2016,204,Barnsley,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (written-off portion)",Age 65 and over,*
96213,2015/2016,204,Barnsley,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,"DPA defaults: recovery attempted, partial value recovered (recovered portion)",Age 65 and over,*
96222,2015/2016,204,Barnsley,FullYear,"DPAs written off in the period,  broken down by primary reason",Primary Reason,DPA defaults: LA did not attempt recovery,Age 65 and over,*
92101,2015/2016,206,Rotherham,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92102,2015/2016,206,Rotherham,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92111,2015/2016,206,Rotherham,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92112,2015/2016,206,Rotherham,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92121,2015/2016,206,Rotherham,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92122,2015/2016,206,Rotherham,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92131,2015/2016,206,Rotherham,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92132,2015/2016,206,Rotherham,FullYear,Total value of DPAs written off (defaulted) during the year,Eligibility Criteria,Client Did Not Meet Statutory Eligibility Criteria,Age 18-64,*
92141,2014/2015,206,Rotherham,YearEnd,Total value of outstanding DPAs at 31st March,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92151,2014/2015,206,Rotherham,FullYear,Total value of DPAs during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
92161,2014/2015,206,Rotherham,FullYear,Total value of DPAs recovered during the year,Eligibility Criteria,Client Met Statutory Eligibility Criteria,Age 18-64,*
