,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,NW,NE,YH,WM,EM,E,SE,L,SW,Eng
Total expenditure on residential and nursing care,2013 - 2014,Adults aged 65 and over,Gross total cost: total expenditure,67743.29,37440,27293,34709.28,19149,22316,33005,13974,19974,15810,22959,71644.63,13903,17666,33858,31828,40183,46937.13,16928.08,39279,74834,26354.27,51971,36747.08,15901,17636.52,61727,17934,22946,16323,33090,18558,19205,21288,27489,19801,19355.17,25989,21299,40896,39336.81,18881,33395,13702.76,24768,116277.59,12408,18069,35355.24,29815.54,46014.81,99780,26161.71,32104.77,26886,14421.75,18827,27945,66595,31457,21331,46523,32025.59,14991,71694,61161,83364,23801,52936,28583.33,2801,93770.33,26836,96978,105991.99,61817,83701,12660.68,38709,15317,8533,13598,13370.98,10063,9856,12611,144158,16769.95,11429.62,41904,8219,14650,20534.92,19590,18093.77,11662,12647,17781.21,14188.53,22203.72,20875.04,16634,11452.26,22164,22837,650,11974.37,25698,17802,18652,20801,27470,26469.84,28685.08,21015.7,13366,19085,17605.01,14419,12873,14987,12640.92,20025,18425,8749,14827,21409.72,102369.96,77425,53706,21505,13625,138516,18748.89,20633,79015.78,30661,44903.95,15419,140122,20466.02,42377,61316,56807.8,570,24069,46144,25373.06,27267,104786,24886.74,15700.11,695991.4,332176.91,529784.08,505063.62,444946.66,556997.16,833242.36,576348.43,578455.66,5053006.28
Total expenditure on residential and nursing care,2013 - 2014,Adults aged 65 and over,Income: total,31364.08,17076,7964,12145.85,9447,9926,12947,7727,9160,6045,8822,31683.14,6690,7322,15940,13591,17390,20799.51,7424.02,17775,24781,10817.9,32223,11347.05,6253,6989.11,24807,8040,10212,6731,8545,6701,9450,8776,11868,11188,6856.01,11030,9193,16507,16182.42,9330,12965,9316.64,12014,52810.39,4316,8049,12964.96,14033.99,18307.62,33086,9735.06,13794.58,9318,7654.01,8635,15561,25899,11173,5592,13309,17044.48,4862,26574,25146,32733,9250,22297,12236.11,1053,34882.63,10423,25208,47001.29,28278,25229,4600.88,15317,6029,2512,4314,4049,2866,3366,4235.24,59172,7890.66,7708.1,11240,4130,6083,7950.19,5159,7618.06,2463,5908,6745.56,2965.95,5323.7,6096.68,4539,3143.17,8891,6571,162,3741.62,8815,5580,6578,6488,8029,12790.69,10888.26,7039.28,5620,8297,5666.54,4194,5018,7333,5328.91,9445,4574,2517,4569,7423.18,32931.47,30800,17796,6686,5368.88,49768,7041.67,7519,37980.25,14261,12677.5,5057,47388,8019.42,15664,26072,21781.6,532,7913,14699,8026.27,8099,46519,9459.77,7012.06,300403.5,139632.99,225499.59,193970.75,174594.74,206213.11,314098.23,198098.42,213363.08,1965874.41
Total expenditure on residential and nursing care,2013 - 2014,Adults aged 65 and over,Net total expenditure,36379.21,20364,19329,22563.43,9702,12390,20058,6247,10814,9765,14137,39961.49,7213,10344,17918,18237,22793,26137.62,9504.06,21504,50053,15536.37,19748,25400.03,9648,10647.41,36920,9894,12734,9592,24545,11857,9755,12512,15621,8613,12499.15,14959,12106,24389,23154.39,9551,20430,4386.12,12754,63467.19,8092,10020,22390.28,15781.55,27707.19,66694,16426.65,18310.19,17568,6767.73,10192,12384,40696,20284,15739,33214,14981.11,10129,45120,36015,50631,14551,30639,16347.22,1748,58887.71,16413,71770,58990.7,33539,58472,8059.81,23392,9288,6021,9284,9321.98,7197,6490,8375.76,84986,8879.29,3721.52,30664,4089,8567,12584.73,14431,10475.7,9199,6739,11035.65,11222.58,16880.02,14778.36,12095,8309.09,13273,16266,488,8232.75,16883,12222,12074,14313,19441,13679.15,17796.81,13976.42,7746,10788,11938.48,10225,7855,7654,7312.01,10580,13851,6232,10258,13986.54,69438.49,46625,35910,14819,8256.12,88748,11707.22,13114,41035.54,16400,32226.45,10362,92734,12446.6,26713,35244,35026.2,38,16156,31445,17346.79,19168,58267,15426.98,8688.04,395587.9,192543.92,304284.49,311092.88,270351.92,350784.05,519144.13,378250.01,365092.58,3087131.88
Total expenditure on home care services,2014 - 2015,Adults aged 65 and over,Gross total cost: total expenditure,17949.66,15013,10416,7175.1,6836.4,9611,10007,3818,3710,5336,5893,18127,1612,7624,8163,10576,17023,17875,8536,14686,25318,15142,11653,8927.86,4940,4949.95,27381.65,6375,8790,6744,7496,4721,5963,5637,15042.23,4804,7380,8793,4657,16439,7709,6036,8667.05,348.39,4180,45506.93,3415,4960,12418,4623.73,17572,48550.31,19054,16438.54,10666,9017.42,10937,6113,38299,6637,5944,19571,9578,7644,26534,9823,39109,9222,30573,9284.9,604,11842.53,11884,38484,22038.78,21910,38873.26,6469,16907,9109,4543,4720.81,6949,7692,4134,6292.31,49061,5352.43,3185,20033,8890.84,6147,11408,7404.55,10741.64,12845,6122,7596,5973,6986.4,11395.67,10732,13781.42,7071,13008,331,1659,5691.27,5721,8138,8202,10062.64,12530,6040,8329.97,2370,7177,10782.59,7348.9,2942,6252,7749.82,9718,5511,5813,7568,4407.88,40333.43,16726,17470,6244,9237,54683,6280,9157,9739,6633,16321,6943,39780,6706,25038,17476,21342,51,3468,18234,7142.87,7859,34900,8336,4368,212279.99,97554.5,189170.46,226021.28,148876.43,209942.3,276702.43,253593.87,204429.87,1818571.13
Total expenditure on home care services,2014 - 2015,Adults aged 65 and over,Income: total,2124.86,1919,0,1568.2,1495,1276,5769,303,840,1383,593,4583,25,0,3147,945,825,3763,3191.78,5299,22832,3384,1416,2628.87,0,35.82,499,1580,3042,587,275,229,0,30,6944.99,220,27,1366,0,0,152,587,2915.12,348.39,2215,2885.56,686,0,391,621.3,846,0,460,3697.51,73,1.86,949,1950,7196,536,617,132,394,1245,3542,1382,2873,1,4876,2496,0,145.51,1301,10603,17596.18,26,2618.38,0,35,1530,466,29.77,1633,5214,869,366.54,18685,914.05,784,107,384.51,1254,1395,0,231.86,1657,891,1392,1166,1112.06,0,3,307.12,0,2518,21,312,166.07,1782,62,185,2687.2,2521,1194,77.25,0,1288,0,922.61,1504,1616,547.7,7023,1953,512,3634,997.86,187.28,0,3706,61,1359.76,11837,0,3670,44,40,884,88,2866,106,7177,-11,5155,53,0,1045,172.56,1477,12030,203,597,25647.23,19754.2,49546.46,18097.37,16616.51,54341.12,29917.45,37285.87,33997.32,285203.52
Total expenditure on home care services,2013 - 2014,Adults aged 65 and over,Gross total cost: total expenditure,22408.45,15277.61,12225,13923.94,8158,9004,11702,4300,3811,6838,6121,23978.14,3718,9193,10470,11690,34549,16489.5,8446.95,14329,26482,15900.75,12056,12237.05,5666,6396.45,27104,7385,9262,7253,20450,4892,7834,7234,14991,8146,9452.37,11124,7841,13892,8119.36,9686,10630,5850.63,5794,48593.14,3408,6383,9561.34,9576.21,24831.58,47647,19694.87,15790.09,12088,9499.59,11441,7439,37864,9314,8240,22055,9411.89,9354,27682,19604,44024,11071,26943,9693.51,1355,24595.39,15737,37317,33796.07,21178,40454,8251.34,17029,10686.21,4831,6387,6255.45,8435,3420,5151,57110,5745.73,4736.5,29743,8779,5438,10168.93,8060,13123.52,16529,10054,9263.31,5227.9,13016.57,12002.6,7629,16595.89,8627,12135,0,3321,8818,6416,9680,10731,12213,13378.31,9155.18,8833.76,2127,8711,11855.04,7583,4656,7121,7893.4,10671,4470,5715,8167,5323.08,46443.04,16698,15215,6463,9243.65,51390,4507.35,11399,22969,11746,10169.65,8052,48214,7476.72,31974,21970,20408.11,35,5130,24968,6110.92,7552,30779,9881.86,4450.63,262381.5,119056.69,218394.69,244670.03,180704.9,241539.56,309538.85,293779.48,212402.81,2082468.51
Total expenditure on home care services,2013 - 2014,Adults aged 65 and over,Income: total,0,1251,37,4575.41,1585,1075,2548,242,291,1377,485,78.67,420,2350,793,2348,3887,2441.94,2293.04,5786,13323,2240.56,4247,57.75,0,38.24,1153,1559,3558,503,471,90,0,4733,6452,175,0,1416,681,2263,272.36,1255,4134,399.41,643,3043.21,1149,1141,313.48,2874.68,57.6,0,5502.99,2993.17,0,1850.69,929,0,6216,961,164,33,40.49,475,2032,1247,550,83,2291,599.59,0,1037.56,960,177,3460.76,5803,5931,1073.08,120,348,38,42,837,4713,418,0,10215,210.63,0,32,2420,332,774.96,2002,0,685,1909,1984.77,648.09,1950.35,219.83,0,452.01,0,3409,0,275.29,276,2083,2906,470,939,2393.59,7.49,67.82,0,2100,299.4,1425,495,4923,195.73,6362,333,1400,1713,826.46,9121.15,130,4631,1114,835.96,13929,1282.82,863,1633.35,340,1281.81,95,1821,249.44,7185,310,1292.25,114,2140,4323,52.99,785,3868,37.31,800,35567.14,13965.08,42517.54,19222.94,8800.15,24626.44,42515.22,41924.37,28865.32,258004.18
Total expenditure on community-based services,2014 - 2015,Adults aged 65 and over,Gross total cost: total expenditure,13678.32,2753,8995,15839.28,6594,2386,3049,2408,1777,1653,1328,6184,1908,6100,7783.4,3473,19297,5190,4538,4171,9222,3854,4744,2329.29,3723.5,7319.84,5541.5,4225,4589,2045,10698,1515.4,7517,5452,3017.28,1798,1765,4366,3191,17547.42,5665,3251,4472.26,3988.88,4621,28664.23,1514,2812,3670,699,5150,8996.71,8621,3219.71,6040,2480.27,1936,5263,13249,4084,2059,23813,1492,907,10795,30849,18660,5515,5093,7703.4,1031,8826.77,9050,18531,1540.12,7877,3626.63,3024,8461,1725,734,5980.59,776,1524,167,1699.17,45410,4025.76,1747,12485,2152.41,3592,2525,5321.52,4524.12,3916,5985,8586,3395,5000.55,5210.95,1816,4111.24,3877,4886,118,2444,2124.3,4464,1726,4900,3222.53,6079,5370,1525.2,3372,3372,3798.85,1816.95,2361.44,7220,3184.36,2472,2092,1793,2187,7912.18,13127.48,15725,7102,1380,1240.06,8316,5764,6591,24636,8720,1997,1794,7962,5117.08,2516,24614,7345,25,1681.68,20056,1975.34,6655,20569,6392,4112.04,136536.78,54874.28,91511.53,87310.69,97523.17,98658.92,132814.5,122271.99,109454.12,930955.97
Total expenditure on community-based services,2014 - 2015,Adults aged 65 and over,Income: total,3061.7,87,0,4675.69,1837,1448,1041,207,351,129,148,3562,839,3980,2532.62,778,5028,2200,1963.58,1211,3446,1836,3455,438.43,269.5,3130.78,0,709,1736,247,1413,662.81,5442,3060,702.9,818,155,744,423,11578.5,518,994,3197.63,1042.5,894,16526.15,317,1439,1767,81.43,30,523,2826,2152.36,102,333.71,304,1658,6185,1570,509,13970.37,311,269,3912,11226,10359,1381,2972,3110,0,2169.06,1973,5191,1540.12,201,770.82,177,5180,95,46,2526.12,48,30,9,250.73,3189,1021.19,292,4002,0,744,269,2110.78,2441.34,1642,2280,2454,425,1847.44,1123.96,296,517.51,16,1526,16,692,1031.33,1331,296,4513,896.16,2163,1400,126.63,1033.7,1166,662.82,799.68,731.21,1951,267.52,376,571,1141,422,3432.78,3793.31,6159,830,75,546.18,1509,2628,1469,6417,2306,266,159,2257,1746.5,1349,6103,3489,29,1185.63,1934,837.3,2285,11783,3037,1818.12,56820.61,14324.69,30977.91,30743.43,37102.06,17196.13,40103.44,38267.08,35726.23,301261.58
Total expenditure on community-based services,2013 - 2014,Adults aged 65 and over,Gross total cost: total expenditure,4582.66,4090.42,2495,2650.21,3166,2235,7360,1425,1708,1277,1704,4554.72,807,947,3722,2973,3642,5018.01,4041.24,4547,9656,5300.65,2363,4452.36,1158,2276.06,5569,1044,4639,2199,5128,2399,556,1743,3007,968,787.58,4164,1615,8275,5264.02,2571,3457,1210.99,840,12489.85,1215,2428,4234.03,3209.05,2939.31,8117,1200.77,2613.1,3871,2377.14,3860,4178,9489,4734,2181,5214,1746.07,964,4481,8741,4324,3453,6975,3369.28,170,8280.86,4248,15687,10944.92,11290,5567,2234.97,3690,1846.23,763,1787,1107.94,1472,626,1115,14729,1705.85,1772.44,3372,1500,2084,2686.41,4803,5614.32,4552,3685,5174.12,3255.81,2858.88,4208.09,2754,4056.6,1872,3333,0.27,1291.34,5318,2199,1812,5497,4582,1858.12,2829.37,1937.9,3440,1562,2535.03,1944,2432,2993,3565.5,3211,3069,205,2433,1292.01,4807.25,14125,5732,2108,2591.07,12322,1029.02,2228,10573,2480,3554.88,1875,8384,2465.81,2376,8136,4696.87,20,697,4699,2467.77,6057,17847,267.21,1479.53,76982.18,33472.35,56709.31,53484.39,44042.15,62283.59,83403.27,100881.34,64604.33,575862.92
Total expenditure on community-based services,2013 - 2014,Adults aged 65 and over,Income: total,709.62,796,280,132.06,1148,1220,1212,89,340,65,24,8.17,318,21,292,1693,242,1884.26,1569.28,1680,2017,1509.21,28,222.42,110,476.44,656,338,2115,212,660,603,142,105,653,0,0,547,445,644,657.61,694,826,280.62,309,723.8,368,1379,1647.58,259.6,0,523,151.77,88.38,498,193.4,221,756,1704,1640,901,1893,79.04,96,2130,2832,514,2194,1623,241.81,28,1786.06,113,2230,953.69,558,1186,162.59,724,249,0,94,119,25,95,25.9,3645,442.2,322.11,10,291,254,845.96,1511,2845.19,833,1332,912.08,334.08,151.58,1049.17,329,418.58,0,992,0,0,1837,0,16,2191,972,747.96,14.48,170.02,1027,0,381.57,1148,530,768,287.08,416,675,0,182,570.73,16.28,4850,295,144,75,1601,439.07,657,2818.26,704,79.62,41,2305,412.18,44,3082,2109.93,17,386,636,768.74,2031,7438,0,442.04,13980.83,5632.23,12738.61,8744.59,11461.87,10342.55,16263.42,22070.79,17589.34,118824.23
Total fairer charging income,2014 - 2015,Adults aged 65 and over,Income: total,6883.62,3562,3951,2931.83,2086.12,1682,2776,1587,1407,1481,1838,7942,916,5204,4078,2258,4311,3970,2622.73,3972,4313,2705,2766,0,1497,1086.95,4337,2035,2035,1469,2746,1920,1821,2287,3215,2465,2608.87,2566,1224,5523,4157,1866,4302.43,0,0,10388.82,0,1295,2040,1326,6805,6457.76,4424,1705.58,780,3314.23,2371,683,6436,1992,1165,3385,2163.02,1128,5922,0,6476,1996,0,2549,144,4549.95,2422,11455,5047.87,5965,4357.59,1614,4935,0,1230,1611.94,1150,0,989,810.75,7434,1660.38,0,4911,2607.45,915,2181,2775,1429.62,1313,171,1889,876,2080.75,2151.72,691,0,2318,1412,0,488,1713.13,2131,1818,3881,3875.89,0,0,1192.56,972,174,3051.92,964.22,849,0,755.21,2337,23,1203,0,1142.04,5145.5,2179,2424,843,1800.16,11606,1997,0,1593,1235,0,1211,9532,1536,1729,4031,1511,0,1649,4007,1875.64,2635,0,447,934.19,62138.74,32159.95,45155.68,42809.59,24058.95,42183.29,52657.23,42536.01,25096.99,368796.43
Total fairer charging income,2013 - 2014,Adults aged 65 and over,Income: total,7225,3641,2695,2937.72,1717,1417,3779,759,1051,1171,1598,9683.27,976,0,4338,1938,6560,3534,2348.36,3827,3538,2818.51,2823,2057.12,1274,1054.27,5386,1984,2067,1835,169,2009,1802,370,3670,2985,2854.96,2445,1766,4088,1441.18,2726,3594,1151.98,2082,12020.23,1033,1205,3188.93,1668.45,6067,5606,3394.34,2280.43,2953,1232.74,1913,2584,6814,1774,1624,2972,1741.73,1136,5330,2705,6490,1546,930,2139,259,5983.81,2607,9790,7495.78,4607,2678,1542.85,5228,1575,925,1430,1261,1537,1082,854.07,8016,1366.3,0,5063,0,709,1833.42,2339,2554.57,2184,258,1555.64,1109.19,1894.42,2504.24,732,0,1541,1314,0,552.96,1975,2123,1781,4457,3394,1841.34,680.02,1227.1,1020,0,2471.09,910,1429,1635,1083.89,1987,62,-37,547,957.46,2531.77,2852,2344,1447,1721.26,10429,1653.98,2432,4345.45,1554,0,1259,9916,1990.93,230,4639,2214,0,683,4076,1624.95,2214,0,0,477.1,63396.73,31424.99,43480.26,42092.24,27989.81,38494.36,57161.67,47125.44,22929.31,374094.8
Total expenditure on Direct Payments,2014 - 2015,Adults aged 65 and over,Gross total cost: total expenditure,3540.52,1713,771,1134.7,520.56,1263,1296,1427,1906,1158,1536,3049,837,3805,751,3217,8775,1099,5015,2678,3700,4459,3366,1703.48,819,1904.29,3386,586,3635,1207,1958,577,873,1360,2586.81,574,2023,2436,2081,525.78,4011,2030,2246.69,430.74,378,7515.33,848,787,2611,3909.03,3877,5691.07,2148,1460.34,4938,2847.37,3143,2385,8389,1168,1273,4081,1702,873,7634,13308,5577,1347,8079,6924.8,183,18194.94,2889,7386,7388.08,9683,5604.71,2307,5635,3145,735,786.96,859,650,784,1524.6,17521,2288.35,707,5002,1621.71,922,2106,4180.56,2174.26,1259,3834,1254,1229,3249.93,2048.72,3553,2472.14,1646,4798,0,7064,5594.72,240,2328,1694,888.58,3593,7738,3463.67,5169,4162,954.4,2417.25,2542,2477,3428.16,2565,2554,2461,2184,1808.54,10216.87,4449,2966,1555,1203.89,2858,1134,1066,5629,1787,6412,806,14094,1776,3908,2068,3680,19,3244,3476,1450.53,2447,7453,2725,1086,48143.9,16611.26,45263.77,43975.77,64136.74,52853.84,68620.97,95216.39,44499.42,479322.06
Total expenditure on Direct Payments,2014 - 2015,Adults aged 65 and over,Income: total,1078.44,7,103,247.2,106.06,0,30,392,23,253,223,297,56,177,277,1096,1139,84,526.93,0,625,1857,607,126.26,0,283.55,483,111,0,578,0,128,0,4,502,0,0,343,471,16,0,326,0,66.59,109,1420.37,170,76,375,158,503,988.55,1006,0,0,139.78,0,1,650,116,162,28,32.24,209,2365,1766,406,122,9095,2311,30,10090.01,863,977,1353.48,0,328.86,0,622,105,40,145.73,24,157,96,0,315,474.13,0,0,31.97,0,0,0,109.96,313,216,20,115,242.85,0,7,30.48,210,247,0,897,871.25,0,115,380,0,294,1728,236.3,180,239,53.27,216.12,248,411,293.56,285,735,357,955,186.21,14.17,463,325,175,5.4,1001,0,188,592,310,410,25,43,10,556,123,963,0,0,312,215.61,3,519,98,250,5821.4,1737.26,7392.74,3835.57,27048.01,3480.44,3997.11,10005.8,3980.01,67298.35
Total expenditure on Direct Payments,2014 - 2015,Adults aged 65 and over,Net total expenditure,2462.08,1706,668,887.5,414.5,1263,1266,1035,1883,905,1313,2752,781,3628,474,2121,7636,1015,4488.07,2678,3075,2602,2759,1577.22,819,1620.75,2903,475,3635,629,1958,449,873,1356,2084.81,574,2023,2093,1610,509.78,4011,1704,2246.69,364.15,269,6094.96,678,711,2236,3751.03,3374,4702.51,1142,1460.34,4938,2707.59,3143,2384,7739,1052,1111,4053,1669.76,664,5269,11542,5171,1225,-1016,4613.8,153,8104.93,2026,6409,6034.6,9683,5275.85,2307,5013,3040,695,641.23,835,493,688,1524.6,17206,1814.21,707,5002,1589.74,922,2106,4180.56,2064.3,946,3618,1234,1114,3007.08,2048.72,3546,2441.66,1436,4551,0,6167,4723.47,240,2213,1314,888.58,3299,6010,3227.37,4989,3923,901.13,2201.13,2294,2066,3134.6,2280,1819,2104,1229,1622.34,10202.69,3986,2641,1380,1198.49,1857,1134,878,5037,1477,6002,781,14051,1766,3352,1945,2717,19,3244,3164,1234.93,2444,6934,2627,836,42322.49,14874,37871.03,40140.19,37088.73,49373.4,64623.85,85210.59,40519.41,412023.71
Total expenditure on Direct Payments,2013 - 2014,Adults aged 65 and over,Gross total cost: total expenditure,3527,1440,693,2042.25,615,1183,1776,1223,1937,787,1250,3609.24,714,1111,1172,2644,7787,1097.51,2262.57,2233,4073,4585.26,1959,1972.76,726,2235.38,2517,519,3579,1298,1874,735,851,1426,2578,709,1745.23,1162,2914,3657,3045.53,2017,1276,257.79,493,5351.49,2134,971,6571.78,4456.48,3676.11,5423,2544.7,1577.13,4874,2817.23,2332,2785,7364,1162,1595,3966,1569.38,803,4384,4778,5940,1232,5766,4467.68,200,12512.99,2648,5836,10797.23,9473,5696,2067,5076,1136,788,710,653.52,0,721,647.49,12713,1987.66,847.71,4906,1064,1063,1834.13,3249,2516.97,1462,1732,1483.66,916.04,1980.84,3152.1,4183,2422.58,1808,2155,37,5022.9,5710,723,1578,1646,865,3602.33,7926.87,3375.67,5299,3752,982.7,2396,1618,2606,3330.02,2174,2528,817,2305,1613.1,13028.28,5067,2824,1397,1118.56,5335,1111.27,1061,8844,1540,5816.16,753,8103,1368.83,2868,1645,2324.48,6,1440,2985,957.37,2550,7514,1866.44,1224.72,52629.3,17269.49,36894.47,42488.56,41928.67,48811.73,66276.48,85355.68,37289.73,428944.1
Total expenditure on Direct Payments,2013 - 2014,Adults aged 65 and over,Income: total,1018.37,9,105,366.63,0,0,23,510,277,134,7,0,18,286,293,786,0,18,0,0,717,2011.76,232,295.55,96,477.89,471,107,500,216,2475,291,0,0,269,0,0,118,570,442,395.35,344,66,43.71,108,407.97,0,83,0,51.75,427.41,148,191.91,0,0,128.16,0,697,816,130,70,419,221.18,58,549,1109,194,0,6342,603.51,0,5670.31,638,587,1400.51,0,39,0,331,146,90,158,0,85,63,0,917,390.64,0,2294,92,0,0,0,652.79,99,9,133.75,48.71,175.89,9.51,0,0,194,708,0,1544,835,0,256,345,0,256.33,0,277.8,9,0,96.95,188,0,512,1641.48,276,381,549,1825,421.6,1272.75,469,286,117,101.01,749,228.26,161,1139.93,299,423.53,217,24,21.66,1395,58,455.91,0,912,272,136.5,205,394,70.23,141,7399.14,1449.63,5791.2,3306.65,15105.82,5720.15,5659.21,11023.22,5184.17,60639.2
Total expenditure on Direct Payments,2013 - 2014,Adults aged 65 and over,Net total expenditure,2508.63,1431,588,1675.62,615,1183,1753,713,1660,653,1243,3609.24,696,825,879,1858,7787,1079.51,2262.57,2233,3356,2573.5,1727,1677.21,630,1757.48,2046,412,3079,1082,-601,444,851,1426,2309,709,1745.23,1044,2344,3215,2650.18,1673,1210,214.08,385,4943.52,2134,888,6571.78,4404.74,3248.71,5275,2352.8,1577.13,4874,2689.07,2332,2088,6548,1032,1525,3547,1348.2,745,3835,3669,5746,1232,-576,3864.17,200,6842.68,2010,5249,9396.71,9473,5657,2067,4745,990,698,552,653.52,-85,658,647.49,11796,1597.03,847.71,2612,972,1063,1834.13,3249,1864.18,1363,1723,1349.9,867.33,1804.95,3142.59,4183,2422.58,1614,1447,37,3478.9,4875,723,1322,1301,865,3346,7926.87,3097.88,5290,3752,885.74,2208,1618,2094,1688.54,1898,2147,268,480,1191.49,11755.53,4598,2538,1280,1017.55,4586,883.01,900,7704.07,1241,5392.63,536,8079,1347.16,1473,1587,1868.57,6,528,2713,820.87,2345,7120,1796.21,1083.73,45230.15,15819.86,31103.27,39181.91,26822.84,43091.58,60617.27,74332.46,32105.56,368304.9
Other gross and net expenditure,2014 - 2015,Adults aged 65 and over,Gross total cost: total expenditure,2045.3,3666,1746,4651.2,1721.52,2450,1571,1315,799,0,591,6706,1958,0,610,1149,2533,3486,1386,2122,9408,5094,115,0,2398,48.39,526,1531,4055,2749,11143,4601,3138,6480,7697.22,6672,1294,4372,2248,6181,4121,3072,4297.28,1712.65,2632,19409.83,2338,737,18891,8373.39,2875,9281.74,1646,1786.37,5032,4260.43,8787,2960,5880,3029,1124,741,1562,1083,7630,14458,10044,4912,6440,4223.7,103,10954.59,3774,21088,19354.42,5123,3983.41,1970,2088,2929,981,1311.37,729,524,5112,2270.2,6630,2015.92,4147,8237,2802.15,526,1907,4405.9,1402.37,6968,2505,1950,6310,19287.03,5232.66,1631,3439.62,888,6244,165,2371,3835.34,1179,8352,6487,8259.12,13200,2116,6179.61,8437,939,878.58,2440.32,4443,2712,1837.63,5011,8556,2118,5777,1073.05,25516.4,1659,2833,1198,1214.14,2180,1241,1284,4045,2558,9116,798,25494,2047,3068,10044,6773,0,1163,2114,1557.3,3345,5162,1412,487,128259.66,27174.72,30406.39,50047.54,62539.29,72660.91,88165.02,155557.18,50284.43,665095.15
Other gross and net expenditure,2014 - 2015,Adults aged 65 and over,Income: total,242.12,1359,351,1259.7,283,350,406,102,138,0,20,1367,25,0,65,407,194,4141,164.69,536,5528,71,87,0,38,11.52,0,38,647,1488,700,597,0,313,2913.84,1446,0,844,96,255.1,71,1135,657.69,0,798,689.08,271,206,1763,197.01,0,10134.43,378,0,13,61.73,1134,1116,876,387,569,18,263,195,6616,4599,756,14,459,35,0,1555.61,371,2261,4351.68,12577,0,63,0,528,67,3.92,15,0,1927,1709.99,119,426.5,288,1894,3129.39,0,1617,2902.67,72.78,1176,368,31,5378,4292.41,2628.19,1419,391.93,179,1463,0,108,221.1,0,86,1710,4442.51,3172,359,859.79,724,39,0,346.31,366,2266,483.04,426,4379,0,1612,275.74,6377.62,490,56,375,97.46,322,323,84,364,263,331,13,19231,101,1807,641,2016,0,0,0,741.85,716,2615,0,0,15329.84,5660.7,11281.21,15145.15,14405.61,14149.57,44659.27,41901.73,9409.31,171942.39
Other gross and net expenditure,2014 - 2015,Adults aged 65 and over,Net total expenditure,1803.18,2307,1395,3391.5,1438.52,2100,1165,1213,661,0,571,5339,1933,0,545,742,2339,-655,1221.31,1586,3880,5023,28,0,2360,36.87,526,1493,3408,1261,10443,4004,3138,6167,4783.38,5226,1294,3528,2152,5925.9,4050,1937,3639.59,1712.65,1834,18720.75,2067,531,17128,8176.38,2875,-852.68,1268,1786.37,5019,4198.71,7653,1844,5004,2642,555,723,1299,888,1014,9859,9288,4898,5981,4188.7,103,9398.98,3403,18827,15002.74,-7454,3983.41,1907,2088,2401,914,1307.45,714,524,3185,560.22,6511,1589.42,3859,6343,-327.23,526,290,1503.23,1329.59,5792,2137,1919,932,14994.62,2604.47,212,3047.7,709,4781,165,2263,3614.24,1179,8266,4777,3816.61,10028,1757,5319.82,7713,900,878.58,2094.01,4077,446,1354.59,4585,4177,2118,4165,797.32,19138.77,1169,2777,823,1116.67,1858,918,1200,3681,2295,8785,785,6263,1946,1261,9403,4757,0,1163,2114,815.45,2629,2547,1412,487,112929.82,21514.02,19125.18,34902.39,48133.68,58511.34,43505.76,113655.46,40875.12,493152.76
Other gross and net expenditure,2013 - 2014,Adults aged 65 and over,Gross total cost: total expenditure,3387.97,4976.02,1937,4185.17,1602,2295,2719,1602,449,25,526,1271.84,122,969,1906,2994,3126,6491.27,593.89,1696,7184,3329.37,769,1343.96,2201,698.91,2479,1998,4458,2956,7781,6552,1572,745,7671,6118,939.17,2612,2717,15455,1759.44,981,4915,2853.5,3860,9221.05,0,663,13556,1368.47,5025.3,12428,3861.79,-448.69,1074,1574.19,11345,1909,9980,2029,1284,16613,1935.71,1216,7155,3088,6125,-7,4976,1958.71,290,9349.42,256,12502,18181.05,8441,3666,1680.57,5513,2193.97,470,941,1837.56,1132,4141,1197.9,9248,1835.6,2607.59,7296,1022,57,2757.19,7387,1675.07,12725,4090,4260.53,4570.12,1714.25,4220.76,2327,3350.58,2362,5343,665,5120.71,7838,849,11051,5024,3722,873.37,777.61,5263.71,7034,2140,1235.73,1539,1556,1945,1487.06,4615,7131,3522,6092,464.17,18655.3,41745,7848,1252,1138.94,1437,821.14,4358,7429,64,6035.39,1473,23961,1025.25,3267,7807,7613.76,30,618,5250,6224.69,2225,4389,4800.3,127.98,102141.6,21710.03,37779.41,69826.3,33191.14,60853,125827.28,133506.5,60100.06,644935.31
