,,,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,NW,NE,YH,WM,EM,E,SE,L,SW,Eng
Long term,Age 18 to 64,Learning disability support,Residential and nursing care,Denominator,All,7402.85,10174,6199.86,3982,2165.07,3134.43,7060,1833,5855,5603,6362.81,12057.95,2360,4193,5488.56,7704,11552,13587,3776,10856.71,18047,9620,19646,8764,3183,3931.57,11852,3421,1640,4405,7160,216,3865.57,1911,3781,529,2832,1573.71,2625.07,6561,5578.57,1581,7926,1584,3251,13054.4,997,1942.43,5526.7,5609.32,8774.23,38213.43,7296,7850.95,6900,7315.61,4285,6676,26408.99,644.43,8724,16484,7472,6130.1,21152,18266,20131,8025.18,19489,9480.57,1708,24717.28,13304.14,38084,30617,13070,15768,4519,12218.3,4705.43,1577.14,4086,5787,6942.8,6019,5549,44133.43,3811.37,5532,14314,5077.6,4632,7697,4419.46,8510,8377,6085.71,6305.57,3220,10874.71,7986,5864.14,5915,10200,4626,156,2297,11633.14,7514,9067,6243,16184.71,9786,7099,8294,6492,6993,11032.8,5952.57,4671.43,5879,5141,4175,6561,7965,7284,7801.86,52040.57,24392.6,4227,5161.57,2295,40650,4156,7254,22419.33,8539.29,15414,9020.85,54665,9531.85,17218.57,19293,15783.42,52,5758,16384.71,6038.57,10557.54,20179.8,7024,4726.79,91552.62,66787.12,135621.85,153174.74,136273.17,174185.4,291405.16,232804.25,159082.82,1440887.13
Long term,Age 18 to 64,Learning disability support,Residential and nursing care,Unit costs,All,1276.48,1202.48,1277.45,761.13,1260.76,1014.54,2207.51,941.63,1185.14,912.73,897.72,821.8,1120.76,1097.07,1383.42,1336.58,1672.18,1056.75,1545.94,1208.56,903.36,1181.29,742.95,1654.75,1214.89,745.76,1322.06,1377.08,1191.46,843.81,1098.32,1518.52,1244.06,941.39,1307.06,2223.06,1385.37,1756.99,1065.88,802.51,603.74,1354.21,1162.42,1229.74,1909.87,911.05,1845.54,774.29,1875.72,1624.26,1697.13,1261.95,1703.47,1483.89,1461.16,1525.84,1287.51,1398.14,1309.63,825.54,1193.72,1411.61,1502.78,1474.04,924.4,1239.02,1335.65,1066.14,1145.26,947.13,1132.9,1250.89,1210.68,1454,1078.83,1581.56,1139.66,1162.87,1649,1321.18,1670.11,1492.54,1558.99,1052.46,1474.17,1493.89,1562.44,1118.13,1508.32,1406.87,1258.1,1195.38,1490.71,1483.02,1669.92,1210.34,1325.02,1311.38,1762.11,1347.21,1575.84,2381.63,1768.51,1293.73,1309.99,1743.59,1379.98,1378.87,1294.65,1575.38,2075.44,1175.01,1815.02,1190.03,1375.3,1458.41,1552.27,1490.7,1386.16,2001.74,1534.81,1259.3,1428.98,1715.9,1269.18,1501.65,1068.95,1327.69,1416.5,1295.95,1362.18,1577.33,1218.45,1201.88,1290.18,1492.28,1611.14,1702.93,1574.24,1240.37,1418.93,1307.82,1471.47,1661.68,0,1465.44,1300.91,1386.2,1707.22,1051,1036.02,808.17,1183.85,1148.79,1172.88,1386.35,1158.62,1359.06,1350.95,1482.16,1396.55,1326.99
Long term,Age 18 to 64,Learning disability support,Residential and nursing care,Numerator,LA supported only,9333.11,11929,7920,2723.4,1405.57,2242,13983,882,4691,5020,5697,8674.54,2520,2740,7446,9314,18437,13597,4595.97,11203,16194,8888,10442,12051.64,3867,2614.7,11438,3527,1613,3409,7464,258,4549,1777,4677,1176,3499.7,2496,2798,5265.3,3368,2136,9213.36,1947.92,5262,11801.77,1840,1504,9365.66,8106.08,14354,38889.29,10421.4,11535.92,10050,10099.11,5517,9334,32063,501,10225,23173,9403.79,8603,15682,22213,24840,8478,16405,7649.3,1169,24685.97,13162,53674,32214.6,20668,15547.74,5255,17522,6216.73,2437,5869.51,9015.9,7259,8656,7592.11,68956,4074.88,8287,14683.96,5698.75,5537,11474,6554.14,10192.02,7973.01,8052.71,6935,3418,13953.82,12468.19,13953.34,10197.34,12543,5908,272,3169.8,15062.04,9123,13758,12143,19007.03,12014.85,8083,9946.05,8436,10775,14300.2,8251.2,8283,7680.16,6474.07,5963,11258,9522,10889,8036.05,68597.76,28004,4774,6907,3409.51,48643,4995,8744,27784,13477,26249,14117,67649,11669,21272.92,25371,18303,0,7059,21315,7742.14,17031,19981,6941,3649.31,102859.88,67687.51,136355.31,194169.51,134284.27,225402.94,372835.06,316558.98,204121.88,1754275.34
Long term,Age 18 to 64,Learning disability support,Residential and nursing care,Denominator,LA supported only,7402.85,10174,6199.86,3982,2165.07,3134.43,7060,1833,5855,5603,6362.81,12057.95,2360,4193,5488.56,7704,11552,13587,3776,10856.71,18047,9620,19646,8764,3183,3931.57,11852,3421,1640,4405,7160,216,3865.57,1911,3781,529,2832,1573.71,2625.07,6561,5578.57,1581,7926,1584,3251,13054.4,997,1942.43,5526.7,5609.32,8774.23,38213.43,7296,7850.95,6900,7315.61,4285,6676,26408.99,644.43,8724,16484,7472,6130.1,21152,18266,20131,8025.18,19489,9480.57,1708,24717.28,13304.14,38084,30617,13070,15768,4519,12218.3,4705.43,1577.14,4086,5787,6942.8,6019,5549,44133.43,3811.37,5532,14314,5077.6,4632,7697,4419.46,8510,8377,6085.71,6305.57,3220,10874.71,7986,5864.14,5915,10200,4626,156,2297,11633.14,7514,9067,6243,16184.71,9786,7099,8294,6492,6993,11032.8,5952.57,4671.43,5879,5141,4175,6561,7965,7284,7801.86,52040.57,24392.6,4227,5161.57,2295,40650,4156,7254,22419.33,8539.29,15414,9020.85,54665,9531.85,17218.57,19293,15783.42,52,5758,16384.71,6038.57,10557.54,20179.8,7024,4726.79,91552.62,66787.12,135621.85,153174.74,136273.17,174185.4,291405.16,232804.25,159082.82,1440887.13
Long term,Age 18 to 64,Learning disability support,Residential and nursing care,Unit costs,LA supported only,1260.75,1172.5,1277.45,683.93,649.2,715.28,1980.59,481.18,801.2,895.95,895.36,719.4,1067.8,653.47,1356.64,1208.98,1596,1000.74,1217.15,1031.9,897.32,923.91,531.51,1375.13,1214.89,665.05,965.07,1030.99,983.54,773.89,1042.46,1194.44,1176.8,929.88,1236.97,2223.06,1235.77,1586.06,1065.88,802.51,603.74,1351.04,1162.42,1229.74,1618.58,904.05,1845.54,774.29,1694.62,1445.11,1635.93,1017.69,1428.37,1469.37,1456.52,1380.49,1287.51,1398.14,1214.09,777.43,1172.05,1405.79,1258.54,1403.4,741.4,1216.08,1233.92,1056.42,841.76,806.84,684.43,998.73,989.32,1409.36,1052.18,1581.33,986.03,1162.87,1434.08,1321.18,1545.2,1436.49,1557.96,1045.54,1438.11,1368.19,1562.44,1069.14,1498.01,1025.85,1122.33,1195.38,1490.71,1483.02,1197.65,951.77,1323.22,1099.82,1061.49,1283.14,1561.26,2379.43,1723.98,1229.71,1277.13,1743.59,1379.98,1294.75,1214.13,1517.37,1945.06,1174.38,1227.76,1138.61,1199.19,1299.45,1540.83,1296.15,1386.16,1773.12,1306.37,1259.3,1428.26,1715.9,1195.48,1494.92,1030.02,1318.16,1148.05,1129.41,1338.16,1485.63,1196.63,1201.88,1205.4,1239.29,1578.23,1702.93,1564.93,1237.52,1224.21,1235.46,1315.04,1159.63,0,1225.95,1300.91,1282.11,1613.16,990.15,988.18,772.05,1123.51,1013.48,1005.41,1267.63,985.41,1294.04,1279.44,1359.76,1283.12,1217.5
Long term,Age 18 to 64,Learning disability support,Nursing,Numerator,All,658.3,154,114,237.9,23.45,952,268,46,280,956,255,663.92,139,171,0,1669,1670,4231,602.37,443,576,0,685,227.82,415,155,471,259,242,0,160,86,463,811,109,0,163.34,156,463,321.7,964,261,232.73,92.18,1226,266.07,15,0,987.63,538,23,1416.8,120.59,434.9,1397,155.24,97,639,2050,45,543,1394,185.63,243,3037,0,3235,1395,363,122.6,0,1148.66,1396,1790,114.74,787,197.37,298,504,0,99,95.06,0,0,0,235.71,221,0,0,1530,253.09,49,130,0,90.74,191.19,0,140,194,1351.3,532.07,20.71,4.87,394,405,0,32.81,89.74,0,222,392,300.09,368.04,118,29.51,281,272,644.22,36.13,379,197,14.53,329,69,431,0,15.78,989.84,1413,0,0,39.04,687,0,0,343,195,433,355,251,418,137.38,576,602,0,393,1307,404.66,1712,268,29,29.88,8215.95,4089.27,11575.19,8744.17,10697.26,4583.19,6033.39,7528.94,6285.96,67753.31
Long term,Age 18 to 64,Learning disability support,Nursing,Denominator,All,734.71,182,107.79,240,52,790.86,152,96,356,971,310.56,1005.27,127,210,0,1019,1687,3721,626,1054.14,718,0,1229.86,243,678,208.57,218,261,210,0,188,52,509.14,533,156,52,56,104.29,489.64,260,655.86,171,303,112,1136.29,436.4,25,0,701.7,553.11,64,1143.14,112,321.15,1043,168.28,95,558,1578.71,42.43,303,889,269,287.71,3187,0,4474,1704.61,253,156.43,0,1032.71,1432.14,1487,317,400,316,270,222.43,0,52.14,93,0,0,0,231,451,0,0,921,140.6,104,130,52.14,73,194,0,155.29,156,511.57,303,80,1.71,261,209,0,64,52.14,0,232,139,191.71,263,104,52,302,237,412.18,52.14,156,156,28,319,52.14,185,0,21.86,412.87,1191.6,0,0,22,854.9,0,0,387.14,105.29,220,239.57,208,267.71,124.29,540,531.71,0,190,1027.85,262.43,796.85,217.1,42.43,52.14,7387.14,4390.48,11873.57,6874.42,12239.89,4136.6,4447.93,4941.89,4266.37,60558.29
Long term,Age 18 to 64,Learning disability support,Nursing,Unit costs,All,896,846.15,1057.61,991.25,450.98,1203.75,1763.16,479.17,786.52,984.55,821.1,660.44,1094.49,814.29,.,1637.88,989.92,1137.06,962.25,420.25,802.23,.,556.97,937.51,612.09,743.16,2160.55,992.34,1152.38,.,851.06,1653.85,909.38,1521.58,698.72,0,2916.82,1495.83,945.59,1237.31,1469.83,1526.32,768.1,822.99,1078.95,609.7,600,.,1407.48,972.68,359.38,1239.39,1076.73,1354.2,1339.41,922.52,1021.05,1145.16,1298.53,1060.57,1792.08,1568.05,690.07,844.6,952.93,.,723.07,818.37,1434.78,783.74,.,1112.27,974.77,1203.77,361.95,1967.5,624.57,1103.7,2265.88,.,1898.73,1022.18,.,.,.,1020.37,490.02,.,.,1661.24,1800.06,471.15,1000,0,1243.07,985.5,.,901.56,1243.59,2641.46,1756.01,258.81,2842.17,1509.58,1937.8,.,512.59,1721,.,956.9,2820.14,1565.27,1399.4,1134.62,567.48,930.46,1147.68,1562.96,692.94,2429.49,1262.82,519.01,1031.35,1323.36,2329.73,.,722,2397.48,1185.8,.,.,1774.5,803.6,.,.,885.98,1852.1,1968.18,1481.82,1206.73,1561.39,1105.35,1066.67,1132.2,.,2068.42,1271.59,1541.98,2148.46,1234.45,683.48,573,1112.2,931.39,974.87,1271.99,873.97,1107.96,1356.45,1523.49,1473.37,1118.81
Long term,Age 18 to 64,Learning disability support,Residential,Numerator,All,8791.28,12080,7806,2792.9,2706.19,2228,15317,1680,6659,4158,5457,9245.29,2506,4429,7593,8628,17647,10127,5235.1,12678,15727,11364,13911,14274.45,3452,2777,15198,4452,1712,3717,7704,242,4346,988,4833,1176,3760.03,2609,2335,4943.6,2404,1880,8980.62,1855.74,4983,11627.19,1825,1504,9378.93,8573,14868,46806.45,12307.93,11215.06,8685,11007.23,5420,8695,32536,487,9871,21875,11043.11,8793,16516,22632,23653,7161,21957,8856.7,1935,29769.94,14711,53584,32915.87,19884,17772.78,4957,19644,6216.73,2535,6003.47,9021.9,7307,8873,8053.89,68735,4261.62,8344,18608,6135.04,5488,11344,6554.14,14120.28,9947.82,8063.71,8129,5480,13299.21,12052.58,13945.52,10455.86,12802,5655,272,3137,15950.86,9728,14062,12565,18717.12,17393.74,8330,11377.19,9187,10583,15802.37,8215.07,8972,8826.16,6459.54,5637,11189,9678,10938,8324.02,68104.05,33139,5478,7031,3580.94,48843,4995,9359,33113,13563,25816,13846,67554,13107,22381.43,27813,25625,0,8045,20008,7966.03,16312,20941,7248,3790.17,100168.39,72635.38,147492.55,203609.79,147191.64,232145.32,387640.06,337525.16,215881.58,1844289.86
Long term,Age 18 to 64,Learning disability support,Residential,Denominator,All,6668.14,9992,6092.07,3742,2113.07,2343.57,6908,1737,5499,4632,6052.25,11052.68,2233,3983,5488.56,6685,9865,9866,3150,9802.57,17329,9620,18416.14,8521,2505,3723,11634,3160,1430,4405,6972,164,3356.43,1378,3625,477,2776,1469.42,2135.43,6301,4922.71,1410,7623,1472,2114.71,12618,972,1942.43,4825,5056.21,8710.23,37070.29,7184,7529.8,5857,7147.33,4190,6118,24830.28,602,8421,15595,7203,5842.39,17965,18266,15657,6320.57,19236,9324.14,1708,23684.57,11872,36597,30300,12670,15452,4249,11995.87,4705.43,1525,3993,5787,6942.8,6019,5318,43682.43,3811.37,5532,13393,4937,4528,7567,4367.31,8437,8183,6085.71,6150.29,3064,10363.14,7683,5784.14,5913.29,9939,4417,156,2233,11581,7514,8835,6104,15993,9523,6995,8242,6190,6756,10620.62,5900.43,4515.43,5723,5113,3856,6508.86,7780,7284,7780,51627.7,23201,4227,5161.57,2273,39795.1,4156,7254,22032.19,8434,15194,8781.28,54457,9264.14,17094.29,18753,15251.71,52,5568,15356.86,5776.14,9760.69,19962.7,6981.57,4674.65,84113.48,62396.64,123748.27,146300.32,124033.28,170048.8,286957.23,227810.22,154816.46,1380224.7
Long term,Age 18 to 64,Learning disability support,Residential,Unit costs,All,1318.4,1208.97,1281.34,746.37,1280.69,950.69,2217.28,967.18,1210.95,897.67,901.65,836.47,1122.26,1111.98,1383.42,1290.65,1788.85,1026.45,1661.94,1293.33,907.55,1181.29,755.37,1675.21,1378.04,745.9,1306.34,1408.86,1197.2,843.81,1104.99,1475.61,1294.83,716.98,1333.24,2465.41,1354.48,1775.53,1093.46,784.57,488.35,1333.33,1178.1,1260.69,2356.35,921.48,1877.57,774.29,1943.82,1695.54,1706.96,1262.64,1713.24,1489.42,1482.84,1540.05,1293.56,1421.22,1310.34,808.97,1172.19,1402.69,1533.13,1505.03,919.34,1239.02,1510.7,1132.97,1141.45,949.87,1132.9,1256.93,1239.13,1464.16,1086.33,1569.38,1150.19,1166.63,1637.56,1321.18,1662.3,1503.5,1558.99,1052.46,1474.17,1514.46,1573.52,1118.13,1508.32,1389.38,1242.67,1212.01,1499.14,1500.73,1673.61,1215.67,1325.02,1321.73,1788.51,1283.32,1568.73,2410.99,1768.2,1288.06,1280.28,1743.59,1404.84,1377.33,1294.65,1591.62,2058.49,1170.33,1826.5,1190.85,1380.39,1484.17,1566.46,1487.9,1392.28,1986.97,1542.23,1263.36,1461.88,1719.04,1243.96,1501.65,1069.93,1319.14,1428.34,1295.95,1362.18,1575.43,1227.36,1201.88,1290.18,1502.94,1608.13,1699.09,1576.76,1240.5,1414.81,1309.29,1483.12,1680.14,0,1444.86,1302.87,1379.13,1671.19,1049.01,1038.16,810.79,1190.87,1164.09,1191.88,1391.72,1186.71,1365.17,1350.86,1481.61,1394.44,1336.22
Long term,Age 18 to 64,Learning disability support,Residential,Numerator,Own provision,1294.25,666,234,0,0,29,0,0,553,722,214,786.07,0,0,516,780,0,0,0,0,0,0,1477,3308.94,0,0,0,293,0,0,1022,0,0,0,0,0,0,578,0,0,0,0,69.52,0,0,0,310,0,0,0,0,0,849.58,0,0,3775.14,0,554,5890,187,0,696,649.7,1042,0,0,1812,23,655,0,500,644.97,632,0,0,0,0,0,10,0,0,0,569.77,1542,739,4.89,3706,4.84,0,344,0,324,891,591.3,3196.95,0,314.71,2012,0,0,0,0,0,0,0,0,666.39,0,0,0,508,0,783.04,0,736.99,2101,0,2632.81,150.25,640,1526,0,0,2346,0,942,2042.46,5035.76,2756,125,1301,0,911,0,0,2537,3919,0,0,0,0,0,0,8029,0,0,720,0,0,11,0,863.76,2963.77,3204.07,6374.94,13643.42,4266.97,5265,20051.99,18405.89,11049.76,85225.81
Long term,Age 18 to 64,Learning disability support,Residential,Denominator,Own provision,1123,471,37.43,0,0,28.86,0,0,338,816,219.56,375.68,0,0,487.42,818,0,0,0,0,0,0,851.71,1242,0,0,0,138,0,0,936,0,0,0,0,0,0,370.14,0,0,0,0,99,0,0,0,0,0,0,0,0,0,586,0,0,1148.1,0,782,1773.71,79.14,0,410,469,956.82,0,0,939,48.57,672,0,572,312,587.29,0,0,0,0,0,0,0,0,0,257,1629.43,612,0,1958,0,0,301,0,495,482,0,1739,0,139.43,727.86,0,0,0,0,0,0,0,0,364,0,0,0,399,0,402,0,260,1070,0,1490.1,0,156,728,0,0,938.57,0,416,1569.14,4480.99,2606.1,48,987.86,0,970.8,0,0,596.68,1383.43,0,0,0,0,0,0,3577,0,0,189,0,0,7.6,0,365.75,2528.14,2286.53,3537.13,6204.77,3130.86,3236,14105.57,8829.96,5175.21,49034.17
Long term,Age 18 to 64,Learning disability support,Residential,Unit costs,Own provision,1152.5,1414.01,6251.67,.,.,1004.85,.,.,1636.09,884.8,974.68,2092.39,.,.,1058.64,953.55,.,.,.,.,.,.,1734.16,2664.2,.,.,.,2123.19,.,.,1091.88,.,.,.,.,.,.,1561.57,.,.,.,.,702.19,.,.,.,.,.,.,.,.,.,1449.8,.,.,3288.17,.,708.44,3320.72,2362.9,.,1697.56,1385.28,1089.02,.,.,1929.71,473.54,974.7,.,874.13,2067.21,1076.13,.,.,.,.,.,.,.,.,.,2217.01,946.34,1207.52,.,1892.75,.,.,1142.86,.,654.55,1848.55,.,1838.38,.,2257.14,2764.28,.,.,.,.,.,.,.,.,1830.75,.,.,.,1273.18,.,1947.86,.,2834.58,1963.55,.,1766.86,.,4102.56,2096.15,.,.,2499.55,.,2264.42,1301.64,1123.81,1057.52,2604.17,1316.99,.,938.4,.,.,4251.86,2832.81,.,.,.,.,.,.,2244.62,.,.,3809.52,.,.,1447.37,.,2361.62,1172.31,1401.28,1802.29,2198.86,1362.87,1627.01,1421.56,2084.48,2135.13,1738.09
Long term,Age 18 to 64,Learning disability support,Residential,Numerator,Provision by others,7497.03,11414,7572,2792.9,2706.19,2199,15317,1680,6106,3436,5243,8459.22,2506,4429,7077,7848,17647,10127,5235.1,12678,15727,11364,12434,10965.51,3452,2777,15198,4159,1712,3717,6682,242,4346,988,4833,1176,3760.03,2031,2335,4943.6,2404,1880,8911.11,1855.74,4983,11627.19,1515,1504,9378.93,8573,14868,46806.45,11458.35,11215.06,8685,7232.09,5420,8141,26646,300,9871,21179,10393.42,7751,16516,22632,21841,7138,21302,8856.7,1435,29124.97,14079,53584,32915.87,19884,17772.78,4957,19634,6216.73,2535,6003.47,8452.12,5765,8134,8049.01,65029,4256.78,8344,18264,6135.04,5164,10453,5962.84,10923.33,9947.82,7749,6117,5480,13299.21,12052.58,13945.52,10455.86,12802,5655,272,2470.6,15950.86,9728,14062,12057,18717.12,16610.7,8330,10640.2,7086,10583,13169.56,8064.82,8332,7300.16,6459.54,5637,8843,9678,9996,6281.57,63068.29,30383,5353,5730,3580.94,47932,4995,9359,30576,9644,25816,13846,67554,13107,22381.43,27813,17596,0,8045,19288,7966.03,16312,20930,7248,2926.41,96894.62,69431.31,141117.61,189966.37,142924.67,226875.48,367573.19,318377.72,204831.82,1757992.78
Long term,Age 18 to 64,Learning disability support,Residential,Denominator,Provision by others,5545.14,9521,6054.64,3742,2113.07,2314.71,6908,1737,5161,3816,5832.69,10677,2233,3983,5001.14,5867,9865,9866,3150,9802.57,17329,9620,17564.43,7279,2505,3723,11634,3022,1430,4405,6036,164,3356.43,1378,3625,477,2776,1099.28,2135.43,6301,4922.71,1410,7524,1472,2114.71,12618,972,1942.43,4825,5056.21,8710.23,37070.29,6598,7529.8,5857,5999.23,4190,5336,23056.57,522.86,8421,15185,6734,4885.57,17965,18266,14718,6272,18564,9324.14,1136,23372.57,11284.71,36597,30300,12670,15452,4249,11995.87,4705.43,1525,3993,5530,5313.36,5407,5318,41724.43,3811.37,5532,13092,4937,4033,7085,4367.31,6698,8183,5946.28,5422.43,3064,10363.14,7683,5784.14,5913.29,9939,4417,156,1869,11581,7514,8835,5705,15993,9121,6995,7982,5120,6756,9130.52,5900.43,4359.43,4995,5113,3856,5570.29,7780,6868,6210.86,47146.71,20594.9,4179,4173.71,2273,38824.3,4156,7254,21435.51,7050.57,15194,8781.28,54457,9264.14,17094.29,18753,11674.71,52,5568,15167.86,5776.14,9760.69,19955.1,6981.57,4308.9,81585.34,60110.11,120211.14,140095.55,120902.42,166812.8,272851.65,218980.26,149641.25,1331190.53
Long term,Age 18 to 64,Learning disability support,Residential,Unit costs,Provision by others,1352,1198.82,1250.61,746.37,1280.69,950.01,2217.28,967.18,1183.1,900.42,898.9,792.28,1122.26,1111.98,1415.08,1337.65,1788.85,1026.45,1661.94,1293.33,907.55,1181.29,707.91,1506.46,1378.04,745.9,1306.34,1376.24,1197.2,843.81,1107.02,1475.61,1294.83,716.98,1333.24,2465.41,1354.48,1847.57,1093.46,784.57,488.35,1333.33,1184.36,1260.69,2356.35,921.48,1558.64,774.29,1943.82,1695.54,1706.96,1262.64,1736.64,1489.42,1482.84,1205.5,1293.56,1525.67,1155.68,573.77,1172.19,1394.73,1543.42,1586.51,919.34,1239.02,1483.97,1138.07,1147.49,949.87,1263.2,1246.12,1247.62,1464.16,1086.33,1569.38,1150.19,1166.63,1636.73,1321.18,1662.3,1503.5,1528.41,1085,1504.35,1513.54,1558.54,1116.86,1508.32,1395.05,1242.67,1280.44,1475.37,1365.33,1630.84,1215.67,1303.17,1128.09,1788.51,1283.32,1568.73,2410.99,1768.2,1288.06,1280.28,1743.59,1321.89,1377.33,1294.65,1591.62,2113.41,1170.33,1821.15,1190.85,1333.02,1383.98,1566.46,1442.37,1366.82,1911.26,1461.49,1263.36,1461.88,1587.53,1243.96,1455.45,1011.38,1337.7,1475.27,1280.93,1372.88,1575.43,1234.59,1201.88,1290.18,1426.42,1367.83,1699.09,1576.76,1240.5,1414.81,1309.29,1483.12,1507.19,0,1444.86,1271.64,1379.13,1671.19,1048.85,1038.16,679.15,1187.65,1155.07,1173.91,1355.98,1182.15,1360.06,1347.15,1453.91,1368.82,1320.62
Long term,Age 18 to 64,Mental health support,Residential and nursing care,Numerator,All,1522.85,1953,1450,2110.9,769.77,681,1965,802,2230,1644,457,1955.79,492,1442,673,1485,3992,3814,496.45,1089,6232,1796,2550,3104.6,337,1323.5,2728,850,940,1452,4359,790,1766,1529,99,1208,958.05,2150,1022,3099.5,1473,1392,3557.65,509.84,1100,11081.08,1365,1723,793.88,1965,1609,9117.82,1965.75,1965.27,2940,2267.67,1126,3416,5813,1496,2066,3927,595.43,1174,2032,737,4260,1990,2415,3978.1,69,4086.28,4670,7438,9546.56,2284,2345.09,1558,1572,157,307,276.94,957.47,2426,813,302.36,7419,1569.95,1774,2957,901.94,811,606,1894.08,3983.89,1965.71,3253,1506,1057,330.48,3136.01,1682.38,3723.09,4739,1131,142,731.18,3799.22,492,1233,2646,4603.8,5169.84,1036,4948.06,1806,711,1686.12,1012.22,1300,394,1577.36,2544,1702,838,1825,1439.98,2600.56,5192,17,581,446.17,2117,2042,1706,3750,2655,7863,1226,5516,1306,2152.63,5210,2480,0,1371,4834,2527.66,654,3490,1408,1562.48,45855.84,16510.46,31912.55,39478.93,24237.38,36926.53,37420.31,68598.44,35822.94,336763.39
Long term,Age 18 to 64,Mental health support,Residential and nursing care,Denominator,All,2654.42,2707,1651.22,3288,1360.5,1208.42,1465,1576,3388,2773,920.19,4427.63,995,1590,1307.43,2192,5960,8470,455,2739.14,7217,2215,4910.14,5169,676,2426.12,2905,1555,1814,3434,7094,1641,3122.1,3276,150,686,1470,2710.86,1355.28,6424,3553.29,1975,5106,1135.29,986.86,12450,2227,3962,1442.7,4739.94,3050.18,13069.71,2133,2380.75,3477,1564.67,2739,3665,5912.86,2459.72,2651,3595,1556,1439.85,4862,223,6899,3701.93,3461,7391.43,66,4594.86,5449.86,8041,15092,1002,2847,1897,1196.43,439.86,397.86,339,1239,2698.38,974,194,7970.86,1879.61,1232,3272,1211.57,1529,799,2016.99,3807,3506,4133,2100,1540,397.57,2740,2102,4591.14,4817,4189,208,1095,3832.44,531,1478,2466,1460,3008,1132,6413,2711,1130,1931.29,1151.14,1056,663,2669,3192,1665.14,794,2049,2759.71,1904.01,8016.5,53,893.43,665,5884.8,3855,2153.29,4595.83,3956.29,5762,1736,8668,1747.86,3566,1699,3947.71,0,1360,5925.31,2220.29,873.58,5757.1,2335.71,2359.65,73409.74,25759.96,49786.83,49693.74,36649.08,45771.03,52021.82,76574.72,39153.78,448820.7
Long term,Age 18 to 64,Mental health support,Residential and nursing care,Unit costs,All,573.7,721.46,878.14,642,565.8,563.55,1341.3,508.88,658.21,592.86,496.64,441.72,494.47,906.92,514.75,677.46,669.8,450.3,1091.1,397.57,863.52,810.84,519.33,600.62,498.52,545.52,939.07,546.62,518.19,422.83,614.46,481.41,565.64,466.73,660,1760.93,651.73,793.11,754.09,482.49,414.55,704.81,696.76,449.08,1114.65,890.05,612.93,434.88,550.27,414.56,527.51,697.63,921.59,825.48,845.56,1449.29,411.1,932.06,983.11,608.2,779.33,1092.35,382.67,815.36,417.94,3304.93,617.48,537.56,697.78,538.2,1045.45,889.32,856.9,925.01,632.56,2279.44,823.7,821.3,1313.91,356.93,771.63,816.92,772.78,899.06,834.7,1558.54,930.77,835.25,1439.94,903.73,744.44,530.41,758.45,939.06,1046.46,560.67,787.08,717.14,686.36,831.26,1144.53,800.37,810.93,983.81,269.99,682.69,667.75,991.33,926.55,834.24,1072.99,3153.29,1718.7,915.19,771.57,666.17,629.2,873.06,879.32,1231.06,594.27,590.99,796.99,1022.14,1055.42,890.68,521.79,1365.83,647.66,320.75,650.3,670.94,359.74,529.7,792.28,815.96,671.08,1364.63,706.22,636.36,747.2,603.65,3066.51,628.21,.,1008.09,815.82,1138.44,748.64,606.21,602.81,662.17,624.66,640.94,640.98,794.44,661.34,806.77,719.32,895.84,914.93,750.33
Long term,Age 18 to 64,Mental health support,Residential and nursing care,Numerator,LA supported only,1057.38,981,1450,1896.8,-39.63,480,1498,541,1523,1644,395,1743.47,445,1250,633,1276,3981,3511,392.68,735,6202,1436,1920,2967.97,337,1040.78,2429,815,860,1452,4010,704,1516,1350,99,1068,762.81,1881,1022,2802.6,1473,1383,3557.65,509.84,910,8758.87,1365,1680,793.88,1852.85,1609,7353,1486.63,1909.23,2940,2010.64,1126,3416,5427,1153,2015,3084,274.73,879,2032,729,3939,1990,2393,3978.1,69,2937.87,2581,7437,7164.65,1879,1103.86,1558,355,157,300,276.94,905.47,2426,766,192.68,7390,1531.6,1774,2771,804.38,475,606,1894.08,1809.7,1965.71,3201,1344,722,320.87,2928.15,1682.38,2864.89,3254,1062,142,431.18,2895.85,492,1077,2322,4603.8,3566.84,990,3958.11,1805,711,1611.79,1012.22,1008,382,1577.36,2544,1338,574,1825,1431.07,2560.43,520,15,577,409.24,2091,2042,1567,3489,2604,7863,1226,5121,1092,1600.11,2010,2439,0,1330,3147,1918.68,654,2710,1343,1562.48,40868.88,12557.64,28926.43,34683.23,20648.97,32615.5,29775.6,57915.93,28804.5,286796.66
