,,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
Long term,Age 18 to 64,Physical support,Nursing,Gross total expenditure,1284.73,563,421,599.5,47.8,1098,696,43,121,228,222,2083.51,287,131,346,560,1250,1233,536.64,937,2060,384,934,381.79,58,114,1240,548,149,129,580,229,332,526,483,434,198.75,402,337,990.9,977,500,543.49,31.68,313,1736.55,253,216,479.43,275.83,409,2982.66,213.85,1178.78,1134,401.02,351,883,1120,1029,372,1025,668.45,150,1641,1478,1419,1541,346,371,0,2318.34,267,3675,1956.55,2385,1995.5,469,1448,429,286,145.73,472.66,123,327,118.66,1814,0,0,1121,600.16,296,564,1037.5,799.12,310.98,338,136,371,857.62,1182.71,1417.51,608.2,135,395,50,352.63,821.27,1788,1376,439,1088.31,1345.63,527,518.69,217,382,1025.51,939.42,285.75,615,456.18,748,401,436,201,270.2,2745.2,1309,578,179,148.53,2769,20,175,1579,719,1125,64,2771,587,1107.75,1575,1864,0,110,1425,598.71,1077,1085,306,175.46
Long term,Age 18 to 64,Physical support,Nursing,Capital charges: own provision,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Physical support,Nursing,Capital charges: provision by others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,127.57,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Physical support,Nursing,Net current expenditure,784.4,489,370,514.5,35.87,1079,575,28,63,185,169,1462.19,256,105,146,560,1155,865,410.31,719,1922,302,797,329.54,51,94,1032,492,93,102,492,163,156,417,423,386,147.07,352,290,383.4,725,382,384.36,13.51,252,1219.78,203,161,384.97,152.18,405,2434.51,184.39,1119.68,990,401.02,304,697,979,959,284,847,279.71,85,1377,1008,1143,1540,266,271,0,1871.52,203,3348,1656.69,1533,1645.35,376,1325,256,254,103.69,277.66,108,324,96.95,1589,0,0,1028,541.82,273,467,928.4,715.41,260.98,73,64,246,711.48,962.46,1279.18,565.45,46,271,50,320.8,740.52,1713,1238,352,970.55,1141.44,428,453.37,176,289,874.86,906.22,175.75,559,392.87,521,238,383,181,235.38,2344.49,1105,498,120,129.4,1590,15,126,1031,602,1008,41,2348,463,956.8,1295,1606,0,16,1228,444.32,892,926,191,149.82
Long term,Age 18 to 64,Physical support,Nursing,Gross current expenditure,1284.73,563,421,599.5,47.8,1098,689,43,121,228,222,2083.51,287,131,346,560,1250,1233,536.64,937,2060,384,934,381.79,58,114,1240,548,149,129,580,229,332,526,483,434,198.75,402,337,990.9,977,500,543.49,31.68,313,1736.55,253,216,479.43,257.18,409,2982.66,213.85,1178.78,1134,401.02,351,883,1120,1029,372,1016,540.88,150,1641,1478,1419,1541,346,371,0,2318.34,267,3675,1956.55,2110,1995.5,469,1448,429,286,145.25,472.66,123,327,118.66,1814,0,0,1121,600.16,296,564,1037.5,799.12,310.98,326,136,371,857.62,1182.71,1417.51,608.2,135,395,50,352.63,821.27,1788,1376,439,1088.31,1345.63,527,518.69,217,382,1025.51,939.42,285.75,615,456.18,748,401,436,201,270.2,2745.2,1309,578,179,148.53,2769,20,175,1579,719,1125,64,2771,587,1107.75,1575,1864,0,110,1425,598.71,1077,1085,306,175.46
Long term,Age 18 to 64,Physical support,Nursing,Gross SSMSS,1284.73,0,0,0,0,0,68,0,9,6,0,71.55,2,0,11,14,0,15,548.29,0,0,26.35,67,514.51,0,0,4,651,0,0,580,0,0,0,10,0,0,0,337,0,0,0,517.25,0,0,0,0,8,0,283.32,0,0,0,0,0,0,0,0,0,0,0,29,3.94,0,0,0,0,2,0,0,0,0,301,0,0,2385,0,0,0,429,0,0,20.66,0,0,0,78,0,0,1190,0,0,0,0,30.13,0,0,22,0,0,41.82,0,662.55,660,395,0,0,965.37,0,0,0,0,0,0,0,0,0,0,45.36,0,0,0,0,0,434,0,0,0,0,0,0,0,0,20,480,44,5,0,0,0,19,0,122,2054,0,0,61.01,3.23,0,2,0,0
Long term,Age 18 to 64,Physical support,Residential,Gross total cost: own provision,428.73,0,0,0,0,47,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,49,168.06,0,0,0,58,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,44.34,0,0,0,0,0,11.93,0,0,0,455.67,0,0,6,0,0,0,0,57,0,0,87,27,48,0,0,0,0,0,0,0,0,0,0,0,0,50.79,0,0,0,0.15,0,0,0,0,0,49,0,312.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,221,407,0,0,0,0,0,0,0,64.18,0,320,0,0,97,258,0,0,0,0,0,0,0,0,160,125,0,0,0,0,0,17,0,0
Long term,Age 18 to 64,Physical support,Residential,Gross total cost: provision by others,3040.44,1074,1202,400.7,231.29,3601,669,101,846,776,420,2657.98,280,477,443,826,1143,1949,220.69,1516,2826,1327,1483,1673.18,893,329.24,2073,483,189,348,1204,659,767,593,1698,328,675.24,689,673,2891.2,1818,754,970.18,203.62,490,3596.9,665,386,204.04,439.17,1399,3729.15,371.06,1272.61,463,506.3,365,810,1609,2900,963,1946,1174.75,422,1850,3528,3645,766,2168,1110,74,2460.23,1042,4210,4252.19,1639,2336.34,545,4815,81,70,110.23,596.75,371,429,428.55,7638,314.43,719,2298,497.29,3139,391,1501.05,2165.89,1143.96,593,1038,192,1493.47,1537.38,2545.45,1179.72,2914,197,0,221.65,1460.1,985,707,1071,2568.73,1298.93,1987,611.26,983,739,1125.15,655.77,443,566,916.5,846,1218,327,978,546.55,5814.47,3199,8036,964,434.72,3884,504,924,4246,1461,1864,871,8765,2120,1129.27,3403,2656,0,585,2239,1015.08,435,3214,844,275.28
Long term,Age 18 to 64,Physical support,Residential,Gross total cost: grants to voluntary org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Physical support,Residential,Gross total cost: total expenditure,3469.17,1074,1202,400.7,231.29,3648,669,101,846,776,420,2657.98,280,477,657,826,1170,1949,221.26,1516,2826,1327,1532,1841.24,893,329.24,2073,541,189,348,1204,659,767,593,1698,328,675.24,980,673,2891.2,1818,754,970.18,203.62,490,3641.24,665,386,204.04,439.17,1399,3741.08,371.06,1272.61,463,961.97,365,810,1615,2900,963,1946,1174.75,479,1850,3528,3732,793,2216,1110,74,2460.23,1042,4210,4252.19,1639,2336.34,545,4815,81,70,161.02,596.75,371,429,428.69,7638,314.43,719,2298,497.29,3188,391,1813.17,2165.89,1143.96,593,1038,192,1493.47,1537.38,2545.45,1197.55,2914,197,0,221.65,1460.1,985,707,1071,2568.74,1298.93,2026,611.26,983,739,1125.15,876.77,850,566,916.5,846,1218,327,978,546.55,5878.65,3199,8559,964,434.72,3981,762,924,4246,1461,1864,871,8765,2120,1129.27,3563,2781,0,585,2239,1015.08,435,3231,844,275.28
Long term,Age 18 to 64,Physical support,Residential,Income: client contributions,491.29,183,118,51,102.24,165,76,37,133,67,70,540.99,34,145,273,96,79,329,44.45,228,39,175,419,183.42,105,42.78,359,30,65,203,309,68,2,104,106,28,79.34,54,80,628.8,1110,64,236.6,72.96,27,782.07,133,110,36.24,204,27,937.87,38.4,88.2,47,15.13,45,69,234,185,171,189,417.25,36,287,811,374,3,243,300,37,206.9,98,322,466.54,106,180.41,124,340,13,8,28.64,180,35,8,46.14,906,42.56,163,192,33.85,224,55,223.43,201.45,133,96,215,16,279.87,244.31,317.41,66.79,182,81,0,75.98,166.91,105,139,77,194.68,422.03,359,87.66,70,75,99.54,184.25,93,80,99.93,112,379,29,101,82.56,368.73,353,677,302,52.14,1927,251,111,450,119,132,72,1007,233,186.34,368,385,0,157,160,106.09,37,531,250,96.18
Long term,Age 18 to 64,Physical support,Residential,Income: joint arrangements,0,0,0,0,0,0,0,0,31,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,19.06,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,611.23,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Physical support,Residential,Income: Income from NHS,459.68,0,0,40.6,75.01,1001,57,28,0,0,23,0,0,0,86,0,52,237,3.59,60,0,173,159,100.45,0,2.76,87,26,0,11,0,103,0,13,2,0,0,84,0,0,0,118,0,0,58,187.5,555,0,0,9.7,220,610.98,0,10.32,0,74.44,0,0,0,0,17,44,14.63,74,45,316,362,0,50,0,0,730.06,189,25,14.74,0,924.56,0,265,0,0,0.15,8,0,0,20.54,0,0,0,0,0,0,0,0,0,219,70,32,0,239.25,0.73,0,347.92,0,54,0,0,40.88,0,0,36,0,559,83,0.55,311,0,0,1.2,73,43,0,0,0,0,0,0,44.35,0,2018,0,30.09,80,0,305,320,228,0,0,0,646,30.57,93,14,0,0,162,0,0,0,39,0
Long term,Age 18 to 64,Physical support,Residential,Income: other income,0,0,0,0,0,7,21,0,2,0,0,0,0,0,3,0,0,0,0,0,20,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,1.91,0,110.82,0,0.37,0,0,0,0,16,0,0,1,41.33,38,0,144,0,0,0,0,0,0,0,2,48.36,0,0,0,0,0,0,0,0,98,0,-0.17,0,0,0,152,0,0,0,0,40.21,0,2,0,0,0,0,35.75,0,0,0,0,0,0,0,0,0,0,191,3,0,0,0,0,2.37,1,0,0,0,0,0,0,0,6.25,0,0,0,0,2,0,0,15,0,0,0,0,0,31.78,0,0,0,0,337,0,0,0,0,0
Long term,Age 18 to 64,Physical support,Residential,Income: total,950.96,183,118,91.6,177.24,1173,154,65,166,67,93,540.99,69,145,362,96,131,566,48.04,288,59,348,579,283.87,105,49.57,446,56,65,223,309,171,2,117,108,28,79.34,142,80,628.8,1110,182,236.6,72.96,94,1052.78,688,110,36.24,215.61,247,1659.68,38.4,98.89,47,89.58,45,69,250,185,188,234,473.2,148,332,1271,736,3,293,300,37,936.96,287,349,546.25,106,1124.03,124,605,13,8,28.79,188,133,8,66.51,906,42.56,163,344,33.85,224,55,223.43,852.89,352,203,247,16,519.13,245.05,353.16,414.71,182,135,0,75.98,207.78,105,139,113,194.68,1172.03,445,88.21,381,75,99.54,187.82,167,123,99.93,112,379,43,101,82.56,419.44,353,2695,302,82.23,2009,251,416,785,347,132,72,1007,879,248.69,461,399,0,157,659,106.09,37,531,289,96.18
Long term,Age 18 to 64,Physical support,Residential,Net total expenditure,2518.21,891,1084,309.1,54.05,2475,515,36,680,709,327,2116.99,211,332,295,730,1039,1383,173.22,1228,2767,979,953,1557.37,788,279.67,1627,485,124,125,895,488,765,476,1590,300,595.9,838,593,2262.4,708,572,733.58,130.66,396,2588.46,-23,276,167.8,223.56,1152,2081.4,332.66,1173.71,416,872.4,320,741,1365,2715,775,1712,701.55,331,1518,2257,2996,790,1923,810,37,1523.27,755,3861,3705.93,1533,1212.32,421,4210,68,62,132.23,408.75,238,421,362.19,6732,271.87,556,1954,463.44,2964,336,1589.73,1313,791.96,390,791,176,974.34,1292.33,2192.29,782.84,2732,62,0,145.67,1252.32,880,568,958,2374.05,126.9,1581,523.06,602,664,1025.6,688.95,683,443,816.57,734,839,284,877,463.99,5459.21,2846,5864,662,352.49,1972,511,508,3461,1114,1732,799,7758,1241,880.58,3102,2382,0,428,1580,908.99,398,2700,555,179.1
Long term,Age 18 to 64,Physical support,Residential,Gross total expenditure,3009.5,1074,1202,360.1,156.28,2640,591,73,813,776,397,2657.98,245,477,568,826,1118,1712,217.67,1456,2806,1154,1372,1740.79,893,322.45,1986,515,189,328,1204,556,767,580,1696,328,675.24,892,673,2891.2,1818,636,970.18,203.62,423,3370.52,110,386,204.04,427.56,1179,3019.27,371.06,1261.92,463,887.53,365,810,1599,2900,946,1901,1118.8,367,1805,3068,3370,793,2166,1110,74,1730.18,853,4183,4172.47,1639,1392.73,545,4550,81,70,160.87,588.75,273,429,408.32,7638,314.43,719,2146,497.29,3188,391,1813.17,1514.45,924.96,486,1006,192,1254.22,1536.65,2509.7,849.63,2914,143,0,221.65,1419.23,985,707,1035,2568.74,548.93,1940,610.71,672,739,1125.15,873.2,776,523,916.5,846,1218,313,978,546.55,5827.94,3199,6541,964,404.63,3899,762,619,3911,1233,1864,871,8765,1474,1066.92,3470,2767,0,585,1740,1015.08,435,3231,805,275.28
Long term,Age 18 to 64,Physical support,Residential,Capital charges: own provision,10.78,0,0,0,0,4,4,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,2,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,28.95,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0.15,0,0,0,0,0,-8,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37,0,0,0,0,0,0,0,6.29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long term,Age 18 to 64,Physical support,Residential,Capital charges: provision by others,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,33,0,0,0,0,0,0,-3,0,0,276,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0
