,,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
Long term,Age 65 to 74,Physical support,Nursing,Gross total expenditure,:,507,:,565.6,:,:,:,:,:,:,:,:,206,:,:,:,:,:,:,:,1803,0,:,167.12,:,:,:,:,:,:,:,:,:,:,627,:,:,:,:,:,:,:,:,:,:,:,191,:,:,845.96,:,:,:,1101.87,:,:,:,:,0,:,1484,:,:,:,:,:,1831,:,330,:,:,1641.47,:,:,:,:,:,:,1786,:,:,:,:,:,:,:,:,:,100.88,1601,246.78,384,:,:,:,:,:,:,:,:,1336.31,769.11,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,338.73,:,:,426.93,:,:,0,:,:,3195.33,:,:,:,:,:,:,:,:,:,:,282,:,:,1481.02,:,:,:,:,:,712.66,712,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Capital charges: own provision,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,70.57,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Capital charges: provision by others,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Net current expenditure,:,297,:,485.4,:,:,:,:,:,:,:,:,145,:,:,:,:,:,:,:,1299,0,:,120.1,:,:,:,:,:,:,:,:,:,:,437,:,:,:,:,:,:,:,:,:,:,:,153,:,:,451.69,:,:,:,:,:,:,:,:,:,:,1294,:,:,:,:,:,1173,:,:,:,:,1230.3,:,:,:,:,:,:,1381,:,:,:,:,:,:,:,:,:,62.4,1152,166.15,295,:,:,:,:,:,:,:,:,990.25,546.82,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,326.76,:,:,290.6,:,:,0,:,:,2192.34,:,:,:,:,:,:,:,:,:,:,138,:,:,1082.91,:,:,:,:,:,619.03,574,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Gross current expenditure,:,507,:,565.6,:,:,:,:,:,:,:,:,206,:,:,:,:,:,:,:,1803,0,:,167.12,:,:,:,:,:,:,:,:,:,:,627,:,:,:,:,:,:,:,:,:,:,:,191,:,:,775.39,:,:,:,:,:,:,:,:,:,:,1484,:,:,:,:,:,1831,:,:,:,:,1641.47,:,:,:,:,:,:,1786,:,:,:,:,:,:,:,:,:,100.88,1601,246.78,384,:,:,:,:,:,:,:,:,1336.31,769.11,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,338.73,:,:,426.93,:,:,0,:,:,3195.33,:,:,:,:,:,:,:,:,:,:,282,:,:,1481.02,:,:,:,:,:,712.66,712,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Gross SSMSS,:,0,:,0,:,:,:,:,:,:,:,:,2,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,11,:,:,:,:,:,:,:,:,:,:,:,0,:,:,873.82,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,1601,0,0,:,:,:,:,:,:,:,:,51.64,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,16.36,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,3.66,0,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Gross total cost: own provision,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,408,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,955,:,:,0,:,:,:,48.1,:,:,:,:,0,:,0,:,:,:,148,:,712,:,0,:,:,212.21,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,138.24,0,0,162,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,158.5,:,:,0,:,:,0,:,:,361.62,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,6,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Gross total cost: provision by others,:,1136,:,629.5,:,:,:,:,:,:,:,:,391,:,:,:,:,:,:,:,1033,0,:,1536.92,:,:,:,:,:,:,:,:,:,:,967,:,:,:,:,:,:,:,:,:,:,:,687,:,:,406.05,:,:,:,1253.2,:,:,:,:,0,:,3603,:,:,:,1537,:,2268,:,1192,:,:,1862.36,:,:,:,:,:,:,1089,:,:,:,:,:,:,:,:,:,379.98,1612,49.19,699,:,:,:,:,:,:,:,:,1135.68,1544.26,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,106.27,:,:,471.07,:,:,0,:,:,1956.09,:,:,:,:,:,:,:,:,:,:,255,:,:,1924.57,:,:,:,:,:,924.69,268,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Gross total cost: grants to voluntary org,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,7,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,0,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Gross total cost: total expenditure,:,1136,:,629.5,:,:,:,:,:,:,:,:,391,:,:,:,:,:,:,:,1448,0,:,1536.92,:,:,:,:,:,:,:,:,:,:,967,:,:,:,:,:,:,:,:,:,:,:,1642,:,:,406.05,:,:,:,1301.3,:,:,:,:,0,:,3603,:,:,:,:,:,2980,:,1192,:,:,2074.56,:,:,:,:,:,:,1089,:,:,:,:,:,:,:,:,:,518.22,1612,49.19,861,:,:,:,:,:,:,:,:,1135.68,1544.26,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,264.77,:,:,471.07,:,:,0,:,:,2317.71,:,:,:,:,:,:,:,:,:,:,255,:,:,1924.57,:,:,:,:,:,924.69,274,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Income: client contributions,:,311,:,80.2,:,:,:,:,:,:,:,:,186,:,:,:,:,:,:,:,408,0,:,570.87,:,:,:,:,:,:,:,:,:,:,300,:,:,:,:,:,:,:,:,:,:,:,138,:,:,167.39,:,:,:,431.76,:,:,:,:,0,:,120,:,:,:,720,:,1113,:,435,:,:,769.03,:,:,:,:,:,:,222,:,:,:,:,:,:,:,:,:,223.38,351,102.07,143,:,:,:,:,:,:,:,:,352.6,463.21,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,70.84,:,:,127.51,:,:,0,:,:,513.98,:,:,:,:,:,:,:,:,:,:,100,:,:,541.23,:,:,:,:,:,158.27,32,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Income: joint arrangements,:,20,:,0,:,:,:,:,:,:,:,:,22,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,0,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,758.43,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Income: Income from NHS,:,0,:,63.9,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,:,207,0,:,66.18,:,:,:,:,:,:,:,:,:,:,56,:,:,:,:,:,:,:,:,:,:,:,0,:,:,9.8,:,:,:,13.35,:,:,:,:,0,:,0,:,:,:,45,:,223,:,3,:,:,94.56,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,121.95,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0.9,:,:,259.59,:,:,0,:,:,1.63,:,:,:,:,:,:,:,:,:,:,2,:,:,52.1,:,:,:,:,:,2.97,9,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Income: other income,:,1,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,1,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,3.14,:,:,:,4.47,:,:,:,:,0,:,0,:,:,:,0,:,0,:,0,:,:,0.64,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,6.57,0,1.83,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,1.78,:,:,0,:,:,0,:,:,14.06,:,:,:,:,:,:,:,:,:,:,0,:,:,54.16,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Income: total,:,332,:,144.1,:,:,:,:,:,:,:,:,212,:,:,:,:,:,:,:,616,0,:,637.05,:,:,:,:,:,:,:,:,:,:,356,:,:,:,:,:,:,:,:,:,:,:,138,:,:,180.33,:,:,:,449.59,:,:,:,:,0,:,120,:,:,:,:,:,1336,:,438,:,:,864.23,:,:,:,:,:,:,222,:,:,:,:,:,:,:,:,:,351.9,351,103.91,143,:,:,:,:,:,:,:,:,352.6,463.21,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,73.52,:,:,387.1,:,:,0,:,:,1288.1,:,:,:,:,:,:,:,:,:,:,102,:,:,647.49,:,:,:,:,:,161.23,41,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Net total expenditure,:,804,:,485.4,:,:,:,:,:,:,:,:,179,:,:,:,:,:,:,:,832,0,:,899.87,:,:,:,:,:,:,:,:,:,:,611,:,:,:,:,:,:,:,:,:,:,:,1504,:,:,225.71,:,:,:,851.71,:,:,:,:,0,:,3483,:,:,:,:,:,1644,:,754,:,:,1210.34,:,:,:,:,:,:,867,:,:,:,:,:,:,:,:,:,166.32,1261,-54.71,718,:,:,:,:,:,:,:,:,783.08,1081.04,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,191.25,:,:,83.97,:,:,0,:,:,1029.62,:,:,:,:,:,:,:,:,:,:,153,:,:,1277.09,:,:,:,:,:,763.45,233,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Gross total expenditure,:,1115,:,565.6,:,:,:,:,:,:,:,:,365,:,:,:,:,:,:,:,1240,0,:,1470.74,:,:,:,:,:,:,:,:,:,:,911,:,:,:,:,:,:,:,:,:,:,:,1642,:,:,393.1,:,:,:,1283.47,:,:,:,:,0,:,3603,:,:,:,:,:,2757,:,1189,:,:,1979.36,:,:,:,:,:,:,1089,:,:,:,:,:,:,:,:,:,389.7,1612,47.36,861,:,:,:,:,:,:,:,:,1135.68,1544.26,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,262.09,:,:,211.48,:,:,0,:,:,1543.59,:,:,:,:,:,:,:,:,:,:,253,:,:,1818.31,:,:,:,:,:,921.72,265,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Capital charges: own provision,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,43,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,32.79,:,:,:,:,:,:,:,:,0,:,0,:,:,:,:,:,0,:,:,:,:,3.39,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,6,:,:,:,:,:,:,:,:,0,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,9,:,:,0,:,:,0,:,:,34.61,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Capital charges: provision by others,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,2,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Net current expenditure,:,804,:,485.4,:,:,:,:,:,:,:,:,179,:,:,:,:,:,:,:,789,0,:,899.87,:,:,:,:,:,:,:,:,:,:,611,:,:,:,:,:,:,:,:,:,:,:,1504,:,:,192.92,:,:,:,:,:,:,:,:,:,:,3483,:,:,:,:,:,1644,:,:,:,:,1206.94,:,:,:,:,:,:,867,:,:,:,:,:,:,:,:,:,166.32,1261,-54.71,712,:,:,:,:,:,:,:,:,783.08,1081.04,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,182.25,:,:,83.97,:,:,0,:,:,995,:,:,:,:,:,:,:,:,:,:,151,:,:,1277.09,:,:,:,:,:,763.45,233,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Gross current expenditure,:,1115,:,565.6,:,:,:,:,:,:,:,:,365,:,:,:,:,:,:,:,1197,0,:,1470.74,:,:,:,:,:,:,:,:,:,:,911,:,:,:,:,:,:,:,:,:,:,:,1642,:,:,360.31,:,:,:,:,:,:,:,:,:,:,3603,:,:,:,:,:,2757,:,:,:,:,1975.97,:,:,:,:,:,:,1089,:,:,:,:,:,:,:,:,:,389.7,1612,47.36,855,:,:,:,:,:,:,:,:,1135.68,1544.26,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,253.09,:,:,211.48,:,:,0,:,:,1508.98,:,:,:,:,:,:,:,:,:,:,251,:,:,1818.31,:,:,:,:,:,921.72,265,:,:,:
Long term,Age 65 to 74,Physical support,Residential,Gross SSMSS,:,0,:,0,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,0,0,:,1845.73,:,:,:,:,:,:,:,:,:,:,13,:,:,:,:,:,:,:,:,:,:,:,0,:,:,406.05,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,0,:,:,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,1612,0,0,:,:,:,:,:,:,:,:,34.82,0,:,:,0,0,:,:,:,:,:,:,:,:,:,:,:,:,9.49,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,4.75,0,:,:,:
Long term,Age 65 to 74,Physical support,Supported accommodation,Gross total cost: own provision,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,0,:,:,:,0,:,146,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,573.87,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,6.95,:,:,7.59,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
