"...1","PSS EX1 Return for 2007-08 Version 11","...3","...4","...5","...6","...7"
NA,"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
NA,"- learning disabilities","28799",NA,NA,"1.1, 1.7, 1.9, 1.11","B12"
NA,"- mental health problems","1325",NA,NA,"1.1, 1.12, 1.14, 1.16","B12"
NA,"- physical disabilities","-",NA,NA,"1.1, 1.17, 1.19, 1.21","B12"
NA,"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
NA,"- residents aged 65 and over","1228",NA,NA,"1.1, 1.2, 1.3","B12"
NA,"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
NA,"- learning disabilities","832",NA,NA,"1.1, 1.7, 1.8","B12"
NA,"- mental health problems","451",NA,NA,"1.1, 1.12, 1.13","B12"
NA,"- physical disabilities","162",NA,NA,"1.1, 1.17, 1.18","B12"
NA,NA,NA,NA,NA,NA,NA
NA,"HH1",NA,NA,NA,NA,NA
NA,"Table 1 line 4 column A (Total hours, LA)","41799.258410078677",NA,NA,"1.22, 1.23","B17"
NA,"Table 1 line 4 column B (Total hours, Independent sector)","240255",NA,NA,"1.22, 1.24","B17"
NA,"Table 3B (Hhs receiving >10 hours and 6+ visits)","8792",NA,NA,"1.1, 1.1A","B12"
NA,"Actual hours of home care provided during the year",NA,NA,NA,NA,NA
NA,"- provided by the Council","1451938",NA,NA,"1.22A, 1.23A",NA
NA,"- provided by the independent sector","9217249",NA,NA,"1.22A, 1.24A",NA
NA,"RAP",NA,NA,NA,NA,NA
NA,"Table R1 Box 1 (Total screened contacts of new clients passed on for further assessment or commissioning of service)","81684",NA,NA,NA,NA
NA,"Clients with completed assessments",NA,NA,NA,NA,NA
NA,"Table A1 Page 1 line 1 col 1 (18-64 pd)","6778",NA,NA,NA,NA
NA,"Table A1 Page 1 line 9 col 1 (18-64 ld)","753",NA,NA,NA,NA
NA,"Table A1 Page 1 line 6 col 1 (18-64 mh)","7481",NA,NA,NA,NA
NA,"Table A1 Page 1 line 10 col 1 (18-64 sm)","1604",NA,NA,NA,NA
NA,"Table A1 Page 1 line 11 cols 2 + 3 (65+ col totals)","33491",NA,NA,NA,NA
NA,"Table A1 Page 2 Box 1 (Overall total of existing clients with reviews)","109101",NA,NA,NA,NA
NA,"Receiving services at 31 March 2008",NA,NA,NA,NA,NA
NA,"Table P2s Page 1 line 1 col 2 (18-64 pd home care)","3861",NA,NA,"1.29",NA
NA,"Table P2s Page 1 line 1 col 3 (18-64 pd day care)","1597",NA,NA,"1.47",NA
NA,"Table P2s Page 2 line 1 col 1 (18-64 pd direct payments)","2143",NA,NA,"1.3400000000000001",NA
NA,"Table P2s Page 1 line 9 col 2 (18-64 ld home care)","1320",NA,NA,"1.27",NA
NA,"Table P2s Page 1 line 9 col 3 (18-64 ld day care)","3825",NA,NA,"1.45",NA
NA,"Table P2s Page 2 line 9 col 1 (18-64 ld direct payments)","770",NA,NA,"1.3200000000000001",NA
NA,"Table P2s Page 1 line 6 col 2 (18-64 mh home care)","515",NA,NA,"1.28",NA
NA,"Table P2s Page 1 line 6 col 3 (18-64 mh day care)","3464",NA,NA,"1.46",NA
NA,"Table P2s Page 2 line 6 col 1 (18-64 mh direct payments)","317",NA,NA,"1.3300000000000001",NA
NA,"Table P2s Page 2 line 11 col 1 (18-64 total direct payments)","3296",NA,NA,NA,NA
NA,"Table P2s Pages 3 + 5 line 11 col 2 (65+ home care)","26238",NA,NA,"1.26",NA
NA,"Table P2s Pages 3 + 5 line 11 col 3 (65+ day care)","7942",NA,NA,"1.4399999999999999",NA
NA,"Table P2s Pages 3 + 5 line 11 col 4 (65+ meals)","7670",NA,NA,"1.5600000000000001",NA
NA,"Table P2s Pages 4 line 11 col 1 (65-74 direct payments)","652",NA,NA,"1.3100000000000001",NA
NA,"Table P2s Page 7 box 1 (75-84 direct payments)","595",NA,NA,"1.3100000000000001",NA
NA,"Table P2s Page 7 box 2 (85+ direct payments)","592",NA,NA,"1.3100000000000001",NA
NA,"Table P2s Pages 1 + 3 + 5 line 11 col 2 (all ages home care)","32079",NA,NA,"1.25",NA
NA,"Table P2s Pages 1 + 3 + 5 line 11 col 3 (all ages day care)","16804",NA,NA,"1.4299999999999999",NA
NA,"Table P2s Pages 1 + 3 + 5 line 11 col 4 (all ages meals)","8173",NA,NA,"1.55",NA
NA,"Table P2s Pages 2 + 4 + 6 line 11 col 1 (all ages direct payments)","5138",NA,NA,"1.30",NA
NA,"Other",NA,NA,NA,NA,NA
NA,"Total meals provided by LA per week on average during year","27410.461538461539",NA,NA,"1.52A, 1.53",NA
NA,"Total meals provided by independent sector per week on average during year","18432",NA,NA,"1.52A, 1.54",NA
NA,"Number of weeks supported residents spent in residential and nursing care (both permanent and temporary):",NA,NA,NA,NA,NA
NA,"residents aged 65 and over in nursing placements","239385",NA,NA,"1.3",NA
NA,"residents aged 65 and over in own provision residential placements","52453",NA,NA,"1.4, 1.5",NA
NA,"residents aged 65 and over in residential placements provided by others","332200.76000000001",NA,NA,"1.4, 1.6",NA
NA,"pd residents aged 18-64 in nursing placements","16264.15",NA,NA,"1.1799999999999999",NA
NA,"pd residents aged 18-64 in own provision residential placements","513",NA,NA,"1.19, 1.20",NA
NA,"pd residents aged 18-64 in residential placements provided by others","25273.27",NA,NA,"1.19, 1.21",NA
NA,"ld residents aged 18-64 in nursing placements","2139.8600000000001",NA,NA,"1.8",NA
NA,"ld residents aged 18-64 in own provision residential placements","13132",NA,NA,"1.9, 1.10",NA
NA,"ld residents aged 18-64 in residential placements provided by others","165288",NA,NA,"1.9, 1.11",NA
NA,"mh residents aged 18-64 in nursing placements","4355.5699999999997",NA,NA,"1.1299999999999999",NA
NA,"mh residents aged 18-64 in own provision residential placements","346",NA,NA,"1.14, 1.15",NA
NA,"mh residents aged 18-64 in residential placements provided by others","59340.290000000001",NA,NA,"1.14, 1.16",NA
NA,"Number of day care sessions per week on average during the year",NA,NA,NA,NA,NA
NA,"clients aged 65 and over, own provision","11271",NA,NA,"1.34A,1.35",NA
NA,"clients aged 65 and over, provision by others","12707",NA,NA,"1.34A,1.36",NA
NA,"pd clients aged 18-64, own provision","3991",NA,NA,"1.40A,1.41",NA
NA,"pd clients aged 18-64, provision by others","1151",NA,NA,"1.40A,1.42",NA
NA,"ld clients aged 18-64, own provision","22619",NA,NA,"1.36A,1.37",NA
NA,"ld clients aged 18-64, provision by others","7920",NA,NA,"1.36A,1.38",NA
NA,"mh clients aged 18-64, own provision","5562",NA,NA,"1.38A,1.39",NA
NA,"mh clients aged 18-64, provision by others","2138",NA,NA,"1.38A,1.40",NA
NA,"Referrals between 1 April 2007 and 31 March 2008",NA,NA,NA,NA,NA
NA,"Older people (aged 65 or over) including older mentally ill","46764",NA,NA,NA,NA
NA,"Adults aged under 65 with a physical disability or sensory impairment","15081",NA,NA,NA,NA
NA,"Adults aged under 65 with learning disabilities","1993",NA,NA,NA,NA
NA,"Adults aged under 65 with mental health needs","9845",NA,NA,NA,NA
NA,"Reviews completed between 1 April 2007 and 31 March 2008",NA,NA,NA,NA,NA
NA,"Older people (aged 65 or over) including older mentally ill","87737",NA,NA,NA,NA
NA,"Adults aged under 65 with a physical disability or sensory impairment","17843",NA,NA,NA,NA
NA,"Adults aged under 65 with learning disabilities","8762",NA,NA,NA,NA
NA,"Adults aged under 65 with mental health needs","14960",NA,NA,NA,NA
NA,"Receiving direct payments at 31 March 2008",NA,NA,NA,NA,NA
NA,"Young carers (aged 16-17)","9",NA,NA,"2.7999999999999998",NA
NA,"Carers (for carers services)","1427",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,"Services for children",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,"SSDA903 on a 100% count basis",NA,NA,NA,NA,NA
NA,"Count of total number of days during year that CLA spent in placements (excluding children accommodated under a series of short term breaks (legal status V3 and V4) and Unaccompanied Asylum Seeking Children)",NA,NA,NA,NA,NA
NA,"- A3, A4, A5, A6 (placed for adoption) - own provision","52559",NA,NA,"2.1, 2.3, 2.4","B8"
NA,"- A3, A4, A5, A6 (placed for adoption) - provision by others","27817.220000000001",NA,NA,"2.1, 2.3, 2.5","B8"
NA,"- F1, F2, F4, F5 (own provision foster placements)","743440.48999999999",NA,NA,"2.1, 2.3, 2.4","B8"
NA,"- F3, F6 (foster placements provided by others)","516106.38",NA,NA,"2.1, 2.3, 2.5","B8"
NA,"- H3 to H5 (homes, hostels etc) - own provision","24970.740000000002",NA,NA,"2.1, 2.2, 2.2A","B8"
NA,"- H3 to H5 (homes, hostels etc) - provision by others","154597.84",NA,NA,"2.1, 2.2, 2.2B","B8"
NA,"- S1 (residential schools) - own provision","0",NA,NA,"2.1, 2.2, 2.2A","B8"
NA,"- S1 (residential schools) - provision by others","61755.18",NA,NA,"2.1, 2.2, 2.2B","B8"
NA,NA,"0",NA,NA,NA,NA
NA,"- H1, H2 (secure accommodation (welfare))","6808.0600000000004",NA,NA,"2.6000000000000001",NA
NA,"CPR3",NA,NA,NA,NA,NA
NA,"Part A 1.Total number of referrals of children who have been the subject of referral (including re-referrals) in the year","48010",NA,NA,NA,NA
NA,"Part A 2.Total number of initial assessments of children receiving initial assessment in the year (sum of ""completed within 7 working days of referral"" and ""other initial assessments completed in the year"")","23485",NA,NA,NA,NA
NA,"Other",NA,NA,NA,NA,NA
NA,"Children and their families - number of reviews during year","25411",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,"Number of nights children looked after (other than Unacommpanied Asylum Seeking Children) spent in short term placements (SSDA 903 legal status V3 and V4) under Reg 13 of the Arrangement for Placement of Children Regulations 1991 (including in respite placements under Section 20)",NA,NA,NA,NA,NA
NA,"- Own provision Foster placements (SSDA 903 placement codes F1, F2, F4, F5)","9873.5100000000002",NA,NA,"2.1, 2.3, 2.4","B8"
NA,"- Provision by others Foster placements (SSDA 903 placement codes F3, F6)","318",NA,NA,"2.1, 2.3, 2.5","B8"
NA,"- Own provision Children's homes (SSDA 903 placement codes H3 to H5)","18972.68",NA,NA,"2.1, 2.2, 2.2A","B8"
NA,"- Provision by others Children's homes (SSDA 903 placement codes H3 to H5)","6189",NA,NA,"2.1, 2.2, 2.2B","B8"
NA,"Receiving direct payments at 31 March 2008",NA,NA,NA,NA,NA
NA,"Disabled children (aged 16-17)","88",NA,NA,"2.7999999999999998",NA
NA,"Carers (eg parents) of disabled children","3079",NA,NA,"2.7999999999999998",NA
NA,NA,NA,NA,NA,NA,NA
NA,"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column D.",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column E, give details below",NA,NA,NA,NA,NA
NA,"Line no above","Source","Figure","Size of","Reason for adjustment",NA
NA,NA,"figure","entered","adjustment",NA,NA
NA,NA,NA,"above",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"1. This data is the sum of all the data for councils that provided data.  Missing data have been treated as zeros.",NA,NA,NA,NA,NA,NA
