"PSS EX1 Return for 2007-08 Version 1.1","...2","...3","...4","...5","...6"
"Number of weeks supported residents spent in residential and nursing care (both permanent and temporary):",NA,NA,NA,NA,NA
"residents aged 65 and over in nursing placements","18258",NA,NA,"2.2999999999999998",NA
"residents aged 65 and over in own provision residential placements","5389",NA,NA,"2.4, 2.5",NA
"residents aged 65 and over in residential placements provided by others","35388",NA,NA,"2.4, 2.6",NA
"pd residents aged 18-64 in nursing placements","1831",NA,NA,"2.1800000000000002",NA
"pd residents aged 18-64 in own provision residential placements","0",NA,NA,"2.19, 2.20",NA
"pd residents aged 18-64 in residential placements provided by others","2426",NA,NA,"2.19, 2.21",NA
"ld residents aged 18-64 in nursing placements","184",NA,NA,"2.7999999999999998",NA
"ld residents aged 18-64 in own provision residential placements","887",NA,NA,"2.9, 2.10",NA
"ld residents aged 18-64 in residential placements provided by others","14466",NA,NA,"2.9, 2.11",NA
"mh residents aged 18-64 in nursing placements","194",NA,NA,"2.1299999999999999",NA
"mh residents aged 18-64 in own provision residential placements","0",NA,NA,"2.14, 2.15",NA
"mh residents aged 18-64 in residential placements provided by others","3662",NA,NA,"2.14, 2.16",NA
"Number of day care sessions per week on average during the year",NA,NA,NA,NA,NA
"clients aged 65 and over, own provision","0",NA,NA,"2.34A,2.35",NA
"clients aged 65 and over, provision by others","799",NA,NA,"2.34A,2.36",NA
"pd clients aged 18-64, own provision","247",NA,NA,"2.40A,2.41",NA
"pd clients aged 18-64, provision by others","187",NA,NA,"2.40A,2.42",NA
"ld clients aged 18-64, own provision","421",NA,NA,"2.36A,2.37",NA
"ld clients aged 18-64, provision by others","589",NA,NA,"2.36A,2.38",NA
"mh clients aged 18-64, own provision","0",NA,NA,"2.38A,2.39",NA
"mh clients aged 18-64, provision by others","33",NA,NA,"2.38A,2.40",NA
"Referrals between 1 April 2007 and 31 March 2008",NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","3859",NA,NA,NA,NA
"Adults aged under 65 with a physical disability or sensory impairment","883",NA,NA,NA,NA
"Adults aged under 65 with learning disabilities","41",NA,NA,NA,NA
"Adults aged under 65 with mental health needs","201",NA,NA,NA,NA
"Reviews completed between 1 April 2007 and 31 March 2008",NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","6855",NA,NA,NA,NA
"Adults aged under 65 with a physical disability or sensory impairment","1055",NA,NA,NA,NA
"Adults aged under 65 with learning disabilities","687",NA,NA,NA,NA
"Adults aged under 65 with mental health needs","1193",NA,NA,NA,NA
"Receiving direct payments at 31 March 2008",NA,NA,NA,NA,NA
"Young carers (aged 16-17)","0",NA,NA,"1.8",NA
"Carers (for carers services)","-",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Services for children",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"SSDA903 on a 100% count basis",NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in placements (excluding children accommodated under a series of short term breaks (legal status V3 and V4) and Unaccompanied Asylum Seeking Children)",NA,NA,NA,NA,NA
"- A3, A4, A5, A6 (placed for adoption) - own provision","5359",NA,NA,"1.1, 1.3, 1.4","B8"
"- A3, A4, A5, A6 (placed for adoption) - provision by others","0",NA,NA,"1.1, 1.3, 1.5","B8"
"- F1, F2, F4, F5 (own provision foster placements)","88203",NA,NA,"1.1, 1.3, 1.4","B8"
"- F3, F6 (foster placements provided by others)","23908",NA,NA,"1.1, 1.3, 1.5","B8"
"- H3 to H5 (homes, hostels etc) - own provision","0",NA,NA,"1.1, 1.2, 1.2A","B8"
"- H3 to H5 (homes, hostels etc) - provision by others","4305",NA,NA,"1.1, 1.2, 1.2B","B8"
"- S1 (residential schools) - own provision","..",NA,NA,"1.1, 1.2, 1.2A","B8"
"- S1 (residential schools) - provision by others","1202",NA,NA,"1.1, 1.2, 1.2B","B8"
NA,"..",NA,NA,NA,NA
"- H1, H2 (secure accommodation (welfare))","295",NA,NA,"1.6000000000000001",NA
"CPR3",NA,NA,NA,NA,NA
"Part A 1.Total number of referrals of children who have been the subject of referral (including re-referrals) in the year","2448",NA,NA,NA,NA
"Part A 2.Total number of initial assessments of children receiving initial assessment in the year (sum of ""completed within 7 working days of referral"" and ""other initial assessments completed in the year"")","1966",NA,NA,NA,NA
"Other",NA,NA,NA,NA,NA
"Children and their families - number of reviews during year","1884",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Number of nights children looked after (other than Unacommpanied Asylum Seeking Children) spent in short term placements (SSDA 903 legal status V3 and V4) under Reg 13 of the Arrangement for Placement of Children Regulations 1991 (including in respite placements under Section 20)",NA,NA,NA,NA,NA
"- Own provision Foster placements (SSDA 903 placement codes F1, F2, F4, F5)","0",NA,NA,"1.1, 1.3, 1.4","B8"
"- Provision by others Foster placements (SSDA 903 placement codes F3, F6)","0",NA,NA,"1.1, 1.3, 1.5","B8"
"- Own provision Children's homes (SSDA 903 placement codes H3 to H5)","..",NA,NA,"1.1, 1.2, 1.2A","B8"
"- Provision by others Children's homes (SSDA 903 placement codes H3 to H5)","1177",NA,NA,"1.1, 1.2, 1.2B","B8"
"Receiving direct payments at 31 March 2008",NA,NA,NA,NA,NA
"Disabled children (aged 16-17)","0",NA,NA,"1.8",NA
"Carers (eg parents) of disabled children","70",NA,NA,"1.8",NA
NA,NA,NA,NA,NA,NA
"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column D.",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column E, give details below",NA,NA,NA,NA,NA
"Line no above","Source","Figure","Size of","Reason for adjustment",NA
NA,"figure","entered","adjustment",NA,NA
NA,NA,"above",NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
