"PSS EX1 Return for 2000-2001 Islington","...2","...3","...4","...5","...6","...7","...8"
"Table A1 Page 1 line 1 col 1 (18-64 pd)","506",NA,NA,NA,NA,NA,"197"
"Table A1 Page 1 line 2 col 1 (18-64 ld)","90",NA,NA,NA,NA,NA,"235"
"Table A1 Page 1 line 3 col 1 (18-64 mh)","101",NA,NA,NA,NA,NA,"273"
"Table A1 Page 1 lines 4 + 5 col 1 (18-64 sm & ovp)","161",NA,NA,NA,NA,NA,"303"
"Table A1 Page 1 line 6 cols 2 + 3 + 4 (65+ col totals)","1836",NA,NA,NA,NA,NA,"159"
"Table A2 Box 1 (Number of clients with scheduled reviews during year)","2039",NA,NA,NA,NA,NA,"160,198,236,274,304"
"Receiving services at 31 March 2001",NA,NA,NA,NA,NA,NA,NA
"Table P2s Page 1# line 1 col 2 (18-64 pd home care)","271",NA,NA,"2.29",NA,NA,NA
"Table P2s Page 1# line 1 col 3 (18-64 pd day care)","94",NA,NA,"2.4700000000000002",NA,NA,NA
"Table P2s Page 1# line 7 col 1 (18-64 pd direct payments)","-",NA,NA,"2.3399999999999999",NA,NA,NA
"Table P2s Page 1# line 2 col 2 (18-64 ld home care)","94",NA,NA,"2.27",NA,NA,NA
"Table P2s Page 1# line 2 col 3 (18-64 ld day care)","79",NA,NA,"2.4500000000000002",NA,NA,NA
"Table P2s Page 1# line 8 col 1 (18-64 ld direct payments)","0",NA,NA,"2.3199999999999998",NA,NA,NA
"Table P2s Page 1# line 3 col 2 (18-64 mh home care)","88",NA,NA,"2.2799999999999998",NA,NA,NA
"Table P2s Page 1# line 3 col 3 (18-64 mh day care)","248",NA,NA,"2.46",NA,NA,NA
"Table P2s Page 1# line 9 col 1 (18-64 mh direct payments)","0",NA,NA,"2.3300000000000001",NA,NA,NA
"Table P2s Pages 3 + 5 +7# line 6 col 2 (65+ home care)","1120",NA,NA,"2.2599999999999998",NA,NA,NA
"Table P2s Pages 3 + 5 +7# line 6 col 3 (65+ day care)","228",NA,NA,"2.4399999999999999",NA,NA,NA
"Table P2s Pages 3 + 5 +7# line 6 col 4 (65+ meals)","325",NA,NA,"2.5600000000000001",NA,NA,NA
"Table P2s Pages 3 + 5 +7# line 12 col 1 (65+ direct payments)","0",NA,NA,"2.3100000000000001",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 +9 line 4 col 1 (all ages substance misuse total clients)","46",NA,NA,"2.5800000000000001",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 +9 line 6 col 2 (all ages home care)","1599",NA,NA,"2.25",NA,NA,"19"
"Table P2s Pages 1 + 3 + 5 + 7 +9 line 6 col 3 (all ages day care)","675",NA,NA,"2.4300000000000002",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 +9 line 6 col 4 (all ages meals)","374",NA,NA,"2.5499999999999998",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 +9 line 12 col 1 (all ages direct payments)","-",NA,NA,"2.30",NA,NA,NA
"Table P2s Pages 2 + 4 + 6 + 8 + 10 line 7 col 1 (all ages asylum seekers total clients)","2206",NA,"A","2.5699999999999998",NA,NA,NA
"Receiving services at any time during year ended 31 March 2001",NA,NA,NA,NA,NA,NA,NA
"Table P2f Page 1# line 7 col 5 (18-64 pd equipment and adaptations)","290",NA,"A","2.52",NA,NA,NA
"Table P2f Page 1# line 8 col 5 (18-64 ld equipment and adaptations)","18",NA,"A","2.50",NA,NA,NA
"Table P2f Page 1# line 9 col 5 (18-64 mh equipment and adaptations)","15",NA,"A","2.5099999999999998",NA,NA,NA
"Table P2f Page 3# line 12 col 5 (65+ equipment and adaptations)","331",NA,"A","2.4900000000000002",NA,NA,NA
"Table P2f Pages 1 + 3 + 5 line 12 col 5 (all ages equipment and adaptations)","654",NA,"A","2.48",NA,NA,NA
"Other",NA,NA,NA,NA,NA,NA,NA
"Total meals provided by LA per week on average during year","2825",NA,NA,"2.5299999999999998",NA,NA,"21"
"Total meals provided by independent sector per week on average during year","0",NA,NA,"2.54",NA,NA,"23"
"Number of weeks supported residents spent in residential and nursing care (both permanent and temporary) by",NA,NA,NA,NA,NA,NA,NA
"residents aged 65 and over in nursing placements","14926",NA,NA,"2.2999999999999998",NA,NA,"123"
"residents aged 65 and over in own provision residential placements","3317",NA,NA,"2.4, 2.5",NA,NA,"121"
"residents aged 65 and over in residential placements provided by others","19115",NA,NA,"2.4, 2.6",NA,NA,"124"
"pd residents aged 18-64 in nursing placements","403",NA,NA,"2.1800000000000002",NA,NA,"165 pt"
"pd residents aged 18-64 in own provision residential placements","580",NA,NA,"2.19, 2.20",NA,NA,"163"
"pd residents aged 18-64 in residential placements provided by others","1346",NA,NA,"2.19, 2.21",NA,NA,"165 pt"
"ld residents aged 18-64 in nursing placements","0",NA,NA,"2.7999999999999998",NA,NA,"203 pt"
"ld residents aged 18-64 in own provision residential placements","1435",NA,NA,"2.9, 2.10",NA,NA,"201"
"ld residents aged 18-64 in residential placements provided by others","8699",NA,NA,"2.9, 2.11",NA,NA,"203 pt"
"mh residents aged 18-64 in nursing placements","187",NA,NA,"2.1299999999999999",NA,NA,"239 pt"
"mh residents aged 18-64 in own provision residential placements","591",NA,NA,"2.14, 2.15",NA,NA,"241"
"mh residents aged 18-64 in residential placements provided by others","6235",NA,NA,"2.14, 2.16",NA,NA,"239 pt"
"Number of day care sessions per week on average during year",NA,NA,NA,NA,NA,NA,NA
"residents aged 65 and over, own provision","838",NA,NA,"2.3500000000000001",NA,NA,"122"
"residents aged 65 and over, provision by others","1284",NA,NA,"2.3599999999999999",NA,NA,"125"
"pd residents aged 18-64, own provision","358",NA,NA,"2.4100000000000001",NA,NA,"164"
"pd residents aged 18-64, provision by others","0",NA,NA,"2.4199999999999999",NA,NA,"166"
"ld residents aged 18-64, own provision","416",NA,NA,"2.3700000000000001",NA,NA,"202"
"ld residents aged 18-64, provision by others","67",NA,NA,"2.3799999999999999",NA,NA,"204"
"mh residents aged 18-64, own provision","490",NA,NA,"2.3900000000000001",NA,NA,"240"
"mh residents aged 18-64, provision by others","1011",NA,NA,"2.40",NA,NA,"242"
"Referrals between 1 April 2000 and 31 March 2001",NA,NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","3738",NA,NA,NA,NA,NA,"158"
"Adults aged under 65 with a physical disability or sensory impairment","1411",NA,NA,NA,NA,NA,"196"
"Adults aged under 65 with learning disabilities","256",NA,NA,NA,NA,NA,"234"
"Adults aged under 65 with mental health needs","1100",NA,NA,NA,NA,NA,"272"
"Reviews completed",NA,NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","1765",NA,NA,NA,NA,NA,"160"
"Adults aged under 65 with a physical disability or sensory impairment","370",NA,NA,NA,NA,NA,"198"
"Adults aged under 65 with learning disabilities","274",NA,NA,NA,NA,NA,"236"
"Adults aged under 65 with mental health needs","64",NA,NA,NA,NA,NA,"274"
"Full cost paying residents*",NA,NA,NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","87",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.5 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities","0",NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.10 (adj)",NA,NA,NA
"- mental health problems","0",NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.15 (adj)",NA,NA,NA
"- physical disabilities","0",NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.20 (adj)",NA,NA,NA
"Preserved rights residents*",NA,NA,NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over",NA,NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.5 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities",NA,NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.10 (adj)",NA,NA,NA
"- mental health problems",NA,NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.15 (adj)",NA,NA,NA
"- physical disabilities",NA,NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.20 (adj)",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column C.",NA,NA,NA,NA,NA,NA,NA
"# Also include your best estimate of those with age unknown (Page 5 of P2(f), Page 9 of P2(s))",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column D, give details below",NA,NA,NA,NA,NA,NA,NA
"Line no above","Source","Figure","Size of","Reason for adjustment",NA,NA,NA
NA,"figure","entered","adjustment",NA,NA,NA,NA
NA,NA,"above",NA,NA,NA,NA,NA
