"PSS EX1 Return for 2002-03","...2","...3","...4","...5","...6","...7"
"Part A 1.Total number of referrals of children who have been the subject of referral (including re-referrals) in the year","97219",NA,NA,NA,NA,NA
"Part A 2.Total number of initial assessments of children receiving initial assessment in the year (sum of ""completed within 7 working days of referral"" and ""other"")","50872",NA,NA,NA,NA,NA
"Other",NA,NA,NA,NA,NA,NA
"Children and their families - number of reviews during year","54043",NA,NA,NA,NA,NA
"Count of total number of days that CLA spent in foster placements",NA,NA,NA,NA,NA,NA
"Own provision (codes F1, F2, F4, F5)","2557527",NA,NA,"1.3999999999999999",NA,NA
"Provision by others (codes F3, F6)","285666",NA,NA,"1.5",NA,NA
"Number of nights children looked after spent in short term placements (SSDA 903 legal status V1) under Reg 13 of the Arrangement for Placement of Children Regulations 1991 (including in respite placements under Section 20)",NA,NA,NA,NA,NA,NA
"- Own provision Foster placements (SSDA 903 placement codes F1, F2, F4, F5)","160837",NA,NA,"1.1 (adj), 1.3 (adj), 1.4 (adj)","B8, B10","51"
"- Provision by others Foster placements (SSDA 903 placement codes F3, F6)","15939",NA,NA,"1.1(adj), 1.3(adj), 1.5 (adj)","B8, B10","51"
"- Own provision Children's homes (SSDA 903 placement codes H3, H4)","54196",NA,NA,"1.1 (adj), 1.2 (adj), 1.2A","B8, B9","51"
"- Provision by others Children's homes (SSDA 903 placement codes H3, H4)","13430",NA,NA,"1.1 (adj), 1.2 (adj), 1.2B","B8, B9","51"
NA,NA,NA,NA,NA,NA,NA
"Services for adults and older people",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"HH1",NA,NA,NA,NA,NA,NA
"Table 1 line 4 column A (Total hours, LA)","145840.03999999998",NA,NA,"2.22, 2.23","B17",NA
"Table 1 line 4 column B (Total hours, Independent sector)","292736.32000000001",NA,NA,"2.22, 2.24","B17",NA
"Table 3B (Hhs receiving >10 hours and 6+ visits)","11309",NA,NA,"2.1000000000000001","B12","52"
"RAP",NA,NA,NA,NA,NA,NA
"Table R1 Box 1 (Total screened contacts passed on for further assessment or commissioning of service)","295899",NA,NA,NA,NA,NA
"Clients with completed assessments",NA,NA,NA,NA,NA,NA
"Table A1 Page 1 line 1 col 1 (18-64 pd)","26302",NA,NA,NA,NA,NA
"Table A1 Page 1 line 2 col 1 (18-64 ld)","5030",NA,NA,NA,NA,NA
"Table A1 Page 1 line 3 col 1 (18-64 mh)","13154",NA,NA,NA,NA,NA
"Table A1 Page 1 lines 4 + 5 col 1 (18-64 sm & ovp)","4058",NA,NA,NA,NA,NA
"Table A1 Page 1 line 6 cols 2 + 3 + 4 (65+ col totals)","127987",NA,NA,NA,NA,NA
"Table A2 Box 1 (Number of clients with a review scheduled who received a scheduled or unscheduled review during the year)","155778",NA,NA,NA,NA,NA
"Receiving services at 31 March 2002",NA,NA,NA,NA,NA,NA
"Table P2s Page 1 line 1 col 2 (18-64 pd home care)","7306",NA,NA,"2.29",NA,NA
"Table P2s Page 1 line 1 col 3 (18-64 pd day care)","3892",NA,NA,"2.4700000000000002",NA,NA
"Table P2s Page 1 line 7 col 1 (18-64 pd direct payments)","1078",NA,NA,"2.3399999999999999",NA,NA
"Table P2s Page 1 line 2 col 2 (18-64 ld home care)","2117",NA,NA,"2.27",NA,NA
"Table P2s Page 1 line 2 col 3 (18-64 ld day care)","9778",NA,NA,"2.4500000000000002",NA,NA
"Table P2s Page 1 line 8 col 1 (18-64 ld direct payments)","133",NA,NA,"2.3199999999999998",NA,NA
"Table P2s Page 1 line 3 col 2 (18-64 mh home care)","1913",NA,NA,"2.2799999999999998",NA,NA
"Table P2s Page 1 line 3 col 3 (18-64 mh day care)","4829",NA,NA,"2.46",NA,NA
"Table P2s Page 1 line 9 col 1 (18-64 mh direct payments)","23",NA,NA,"2.3300000000000001",NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 2 (65+ home care)","51628",NA,NA,"2.2599999999999998",NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 3 (65+ day care)","17588",NA,NA,"2.4399999999999999",NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 4 (65+ meals)","21351",NA,NA,"2.5600000000000001",NA,NA
"Table P2s Pages 3 + 5 + 7 line 12 col 1 (65+ direct payments)","232",NA,NA,"2.3100000000000001",NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 line 6 col 2 (all ages home care)","63539",NA,NA,"2.25",NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 line 6 col 3 (all ages day care)","36114",NA,NA,"2.4300000000000002",NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 line 6 col 4 (all ages meals)","23003",NA,NA,"2.5499999999999998",NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 line 12 col 1 (all ages direct payments)","1473",NA,NA,"2.30",NA,NA
"Other",NA,NA,NA,NA,NA,NA
"Total meals provided by LA per week on average during year","56557",NA,NA,"2.52A, 2.53",NA,NA
"Total meals provided by independent sector per week on average during year","34767.869999999995",NA,NA,"2.52A, 2.54",NA,NA
"Number of weeks supported residents spent in residential and nursing care (both permanent and temporary):",NA,NA,NA,NA,NA,NA
"residents aged 65 and over in nursing placements","594719",NA,NA,"2.2999999999999998",NA,NA
"residents aged 65 and over in own provision residential placements","318573.57142857142",NA,NA,"2.4, 2.5",NA,NA
"residents aged 65 and over in residential placements provided by others","1129715",NA,NA,"2.4, 2.6",NA,NA
"pd residents aged 18-64 in nursing placements","38941",NA,NA,"2.1800000000000002",NA,NA
"pd residents aged 18-64 in own provision residential placements","4315.71",NA,NA,"2.19, 2.20",NA,NA
"pd residents aged 18-64 in residential placements provided by others","56954.992857142854",NA,NA,"2.19, 2.21",NA,NA
"ld residents aged 18-64 in nursing placements","25188",NA,NA,"2.7999999999999998",NA,NA
"ld residents aged 18-64 in own provision residential placements","31637.857142857141",NA,NA,"2.9, 2.10",NA,NA
"ld residents aged 18-64 in residential placements provided by others","329619.42857142858",NA,NA,"2.9, 2.11",NA,NA
"mh residents aged 18-64 in nursing placements","20825",NA,NA,"2.1299999999999999",NA,NA
"mh residents aged 18-64 in own provision residential placements","8220",NA,NA,"2.14, 2.15",NA,NA
"mh residents aged 18-64 in residential placements provided by others","109306.42857142857",NA,NA,"2.14, 2.16",NA,NA
"Number of day care sessions per week on average during year",NA,NA,NA,NA,NA,NA
"clients aged 65 and over, own provision","35603.538461538461",NA,NA,"2.3500000000000001",NA,NA
"clients aged 65 and over, provision by others","19773.596153846156",NA,NA,"2.3599999999999999",NA,NA
"pd clients aged 18-64, own provision","11732.389999999999",NA,NA,"2.4100000000000001",NA,NA
"pd clients aged 18-64, provision by others","4015.6300000000001",NA,NA,"2.4199999999999999",NA,NA
"ld clients aged 18-64, own provision","57712",NA,NA,"2.3700000000000001",NA,NA
"ld clients aged 18-64, provision by others","14939.58",NA,NA,"2.3799999999999999",NA,NA
"mh clients aged 18-64, own provision","6279.3599999999997",NA,NA,"2.3900000000000001",NA,NA
"mh clients aged 18-64, provision by others","5271.1199999999999",NA,NA,"2.40",NA,NA
"Referrals between 1 April 2002 and 31 March 2003",NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","221313",NA,NA,NA,NA,NA
"Adults aged under 65 with a physical disability or sensory impairment","39723",NA,NA,NA,NA,NA
"Adults aged under 65 with learning disabilities","5346",NA,NA,NA,NA,NA
"Adults aged under 65 with mental health needs","25888",NA,NA,NA,NA,NA
"Reviews completed",NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","110342",NA,NA,NA,NA,NA
"Adults aged under 65 with a physical disability or sensory impairment","14485",NA,NA,NA,NA,NA
"Adults aged under 65 with learning disabilities","10790",NA,NA,NA,NA,NA
"Adults aged under 65 with mental health needs","13078",NA,NA,NA,NA,NA
"Full cost paying residents and those wholly funded under Section 28(a) or preserved rights*",NA,NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","15596.411764705883",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.5 (adj)","B12, B13","52"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA
"- learning disabilities","657.17927170868347",NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.10 (adj)","B12, B14","52"
"- mental health problems","0",NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.15 (adj)","B12, B15","52"
"- physical disabilities","3",NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.20 (adj)","B12, B16","52"
"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","60851.770308123247",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.6 (adj)","B12, B13","52"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA
"- learning disabilities","35754.070028011207",NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.11 (adj)","B12, B14","52"
"- mental health problems","2961.652661064426",NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.16 (adj)","B12, B15","52"
"- physical disabilities","828.98319327731087",NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.21 (adj)","B12, B16","52"
"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","12993.257703081232",NA,NA,"2.1 (adj), 2.2 (adj), 2.3 (adj)","B12, B13","52"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA
"- learning disabilities","4532",NA,NA,"2.1 (adj), 2.7 (adj), 2.8 (adj)","B12, B14","52"
"- mental health problems","1381",NA,NA,"2.1 (adj), 2.12 (adj), 2.13 (adj)","B12, B15","52"
"- physical disabilities","1400",NA,NA,"2.1 (adj), 2.17 (adj), 2.18 (adj)","B12, B16","52"
NA,NA,NA,NA,NA,NA,NA
"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column D.",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column E, give details below",NA,NA,NA,NA,NA,NA
"Line no above","Source","Figure","Size of","Reason for adjustment",NA,NA
NA,"figure","entered","adjustment",NA,NA,NA
NA,NA,"above",NA,NA,NA,NA
