"PSS EX1 Return for 2006-07 Version 1a","...2","...3","...4","...5","...6"
"ld residents aged 18-64 in nursing placements","22564.002857142856",NA,NA,"2.7999999999999998",NA
"ld residents aged 18-64 in own provision residential placements","29135.13714285714",NA,NA,"2.9, 2.10",NA
"ld residents aged 18-64 in residential placements provided by others","299277.4757142858",NA,NA,"2.9, 2.11",NA
"mh residents aged 18-64 in nursing placements","19277.860000000001",NA,NA,"2.1299999999999999",NA
"mh residents aged 18-64 in own provision residential placements","3576.2857142857142",NA,NA,"2.14, 2.15",NA
"mh residents aged 18-64 in residential placements provided by others","100909.31285714285",NA,NA,"2.14, 2.16",NA
"Number of day care sessions per week on average during the year",NA,NA,NA,NA,NA
"clients aged 65 and over, own provision","33464.699999999997",NA,NA,"2.34A,2.35",NA
"clients aged 65 and over, provision by others","17180.459999999999",NA,NA,"2.34A,2.36",NA
"pd clients aged 18-64, own provision","7294.9700000000003",NA,NA,"2.40A,2.41",NA
"pd clients aged 18-64, provision by others","3809.1500000000001",NA,NA,"2.40A,2.42",NA
"ld clients aged 18-64, own provision","50766",NA,NA,"2.36A,2.37",NA
"ld clients aged 18-64, provision by others","17699.32",NA,NA,"2.36A,2.38",NA
"mh clients aged 18-64, own provision","5660.6199999999999",NA,NA,"2.38A,2.39",NA
"mh clients aged 18-64, provision by others","4592.2399999999998",NA,NA,"2.38A,2.40",NA
"Referrals between 1 April 2006 and 31 March 2007",NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","123731",NA,NA,NA,NA
"Adults aged under 65 with a physical disability or sensory impairment","27851",NA,NA,NA,NA
"Adults aged under 65 with learning disabilities","2502",NA,NA,NA,NA
"Adults aged under 65 with mental health needs","27510",NA,NA,NA,NA
"Reviews completed between 1 April 2006 and 31 March 2007",NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","162670",NA,NA,NA,NA
"Adults aged under 65 with a physical disability or sensory impairment","27288",NA,NA,NA,NA
"Adults aged under 65 with learning disabilities","15082",NA,NA,NA,NA
"Adults aged under 65 with mental health needs","21247",NA,NA,NA,NA
"Full cost paying residents*",NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","20899.142857142855",NA,NA,"2.1, 2.1A, 2.2, 2.2A, 2.4, 2.5","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","2432",NA,NA,"2.1, 2.1A, 2.7, 2.7A, 2.9, 2.10","B12"
"- mental health problems","107",NA,NA,"2.1, 2.1A, 2.12, 2.12A, 2.14, 2.15","B12"
"- physical disabilities","538",NA,NA,"2.1, 2.1A, 2.17, 2.17A, 2.19, 2.20","B12"
"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","78772",NA,NA,"2.1, 2.1A, 2.2, 2.2A, 2.4, 2.6","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","4495.1428571428569",NA,NA,"2.1, 2.1A, 2.7, 2.7A, 2.9, 2.11","B12"
"- mental health problems","1684.5714285714287",NA,NA,"2.1, 2.1A, 2.12, 2.12A, 2.14, 2.16","B12"
"- physical disabilities","1694.2857142857142",NA,NA,"2.1, 2.1A, 2.17, 2.17A, 2.19, 2.21","B12"
"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","30686.142857142859",NA,NA,"2.1, 2.1A, 2.2, 2.2A, 2.3","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","822",NA,NA,"2.1, 2.1A. 2.7, 2.7A, 2.8","B12"
"- mental health problems","1666",NA,NA,"2.1, 2.1A, 2.12, 2.12A, 2.13","B12"
"- physical disabilities","1047",NA,NA,"2.1, 2.1A, 2.17, 2.17A, 2.18","B12"
"Residents wholly funded under Section 28(a)*",NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","378",NA,NA,"2.1, 2.2, 2.4, 2.5","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","1243",NA,NA,"2.1, 2.7, 2.9, 2.10","B12"
"- mental health problems","0",NA,NA,"2.1, 2.12, 2.14, 2.15","B12"
"- physical disabilities","118",NA,NA,"2.1, 2.17, 2.19, 2.20","B12"
"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","10029.857142857143",NA,NA,"2.1, 2.2, 2.4, 2.6","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","41749.142857142855",NA,NA,"2.1, 2.7, 2.9, 2.11","B12"
"- mental health problems","1235.7142857142858",NA,NA,"2.1, 2.12, 2.14, 2.16","B12"
"- physical disabilities","270",NA,NA,"2.1, 2.17, 2.19, 2.21","B12"
"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","6752",NA,NA,"2.1, 2.2, 2.3","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","6727",NA,NA,"2.1, 2.7, 2.8","B12"
"- mental health problems","1594",NA,NA,"2.1, 2.12, 2.13","B12"
"- physical disabilities","916",NA,NA,"2.1, 2.17, 2.18","B12"
"Actual hours of home care provided during the year",NA,NA,NA,NA,NA
"- provided by the Council","4319273.5607738094",NA,NA,"2.22A, 2.23A",NA
"- provided by the independent sector","14943272.352182539",NA,NA,"2.22A, 2.24A",NA
"Receiving direct payments at 31 March 2007",NA,NA,NA,NA,NA
"Young carers (aged 16-17)","2",NA,NA,"1.8",NA
"Carers (for carers services)","753",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column D.",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column E, give details below",NA,NA,NA,NA,NA
"Line no above","Source","Figure","Size of","Reason for adjustment",NA
NA,"figure","entered","adjustment",NA,NA
NA,NA,"above",NA,NA,NA
