"PSS EX1 Return for 2006-07 Version 1a","...2","...3","...4","...5","...6"
"ld residents aged 18-64 in own provision residential placements","5512",NA,NA,"2.9, 2.10",NA
"ld residents aged 18-64 in residential placements provided by others","35912",NA,NA,"2.9, 2.11",NA
"mh residents aged 18-64 in nursing placements","3485",NA,NA,"2.1299999999999999",NA
"mh residents aged 18-64 in own provision residential placements","155",NA,NA,"2.14, 2.15",NA
"mh residents aged 18-64 in residential placements provided by others","10616",NA,NA,"2.14, 2.16",NA
"Number of day care sessions per week on average during the year",NA,NA,NA,NA,NA
"clients aged 65 and over, own provision","..",NA,NA,"2.34A,2.35",NA
"clients aged 65 and over, provision by others","..",NA,NA,"2.34A,2.36",NA
"pd clients aged 18-64, own provision","..",NA,NA,"2.40A,2.41",NA
"pd clients aged 18-64, provision by others","..",NA,NA,"2.40A,2.42",NA
"ld clients aged 18-64, own provision","..",NA,NA,"2.36A,2.37",NA
"ld clients aged 18-64, provision by others","..",NA,NA,"2.36A,2.38",NA
"mh clients aged 18-64, own provision","..",NA,NA,"2.38A,2.39",NA
"mh clients aged 18-64, provision by others","..",NA,NA,"2.38A,2.40",NA
"Referrals between 1 April 2006 and 31 March 2007",NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","26762",NA,NA,NA,NA
"Adults aged under 65 with a physical disability or sensory impairment","4446",NA,NA,NA,NA
"Adults aged under 65 with learning disabilities","207",NA,NA,NA,NA
"Adults aged under 65 with mental health needs","2788",NA,NA,NA,NA
"Reviews completed between 1 April 2006 and 31 March 2007",NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","18188",NA,NA,NA,NA
"Adults aged under 65 with a physical disability or sensory impairment","2176",NA,NA,NA,NA
"Adults aged under 65 with learning disabilities","2141",NA,NA,NA,NA
"Adults aged under 65 with mental health needs","1153",NA,NA,NA,NA
"Full cost paying residents*",NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","3960",NA,NA,"2.1, 2.1A, 2.2, 2.2A, 2.4, 2.5","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","0",NA,NA,"2.1, 2.1A, 2.7, 2.7A, 2.9, 2.10","B12"
"- mental health problems","3",NA,NA,"2.1, 2.1A, 2.12, 2.12A, 2.14, 2.15","B12"
"- physical disabilities","0",NA,NA,"2.1, 2.1A, 2.17, 2.17A, 2.19, 2.20","B12"
"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","11051",NA,NA,"2.1, 2.1A, 2.2, 2.2A, 2.4, 2.6","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","605",NA,NA,"2.1, 2.1A, 2.7, 2.7A, 2.9, 2.11","B12"
"- mental health problems","145",NA,NA,"2.1, 2.1A, 2.12, 2.12A, 2.14, 2.16","B12"
"- physical disabilities","149",NA,NA,"2.1, 2.1A, 2.17, 2.17A, 2.19, 2.21","B12"
"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","9085",NA,NA,"2.1, 2.1A, 2.2, 2.2A, 2.3","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","0",NA,NA,"2.1, 2.1A. 2.7, 2.7A, 2.8","B12"
"- mental health problems","52",NA,NA,"2.1, 2.1A, 2.12, 2.12A, 2.13","B12"
"- physical disabilities","370",NA,NA,"2.1, 2.1A, 2.17, 2.17A, 2.18","B12"
"Residents wholly funded under Section 28(a)*",NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","0",NA,NA,"2.1, 2.2, 2.4, 2.5","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","0",NA,NA,"2.1, 2.7, 2.9, 2.10","B12"
"- mental health problems","0",NA,NA,"2.1, 2.12, 2.14, 2.15","B12"
"- physical disabilities","0",NA,NA,"2.1, 2.17, 2.19, 2.20","B12"
"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","0",NA,NA,"2.1, 2.2, 2.4, 2.6","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","0",NA,NA,"2.1, 2.7, 2.9, 2.11","B12"
"- mental health problems","0",NA,NA,"2.1, 2.12, 2.14, 2.16","B12"
"- physical disabilities","0",NA,NA,"2.1, 2.17, 2.19, 2.21","B12"
"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","0",NA,NA,"2.1, 2.2, 2.3","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","0",NA,NA,"2.1, 2.7, 2.8","B12"
"- mental health problems","0",NA,NA,"2.1, 2.12, 2.13","B12"
"- physical disabilities","0",NA,NA,"2.1, 2.17, 2.18","B12"
"Actual hours of home care provided during the year",NA,NA,NA,NA,NA
"- provided by the Council","934283",NA,NA,"2.22A, 2.23A",NA
"- provided by the independent sector","2559461",NA,NA,"2.22A, 2.24A",NA
"Receiving direct payments at 31 March 2007",NA,NA,NA,NA,NA
"Young carers (aged 16-17)","1",NA,NA,"1.8",NA
"Carers (for carers services)","11",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column D.",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column E, give details below",NA,NA,NA,NA,NA
"Line no above","Source","Figure","Size of","Reason for adjustment",NA
NA,"figure","entered","adjustment",NA,NA
NA,NA,"above",NA,NA,NA
