"PSS EX1 Return for 2001-02","...2","...3","...4","...5","...6","...7","...8"
"- Children's homes (SSDA 903 placement codes H3, H4)","2920",NA,NA,"1.1 (adj), 1.2 (adj)",NA,NA,"57"
NA,NA,NA,NA,NA,NA,NA,NA
"Services for adults and older people",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"HH1",NA,NA,NA,NA,NA,NA,NA
"Table 1 line 4 column A (Total hours, LA)","15374",NA,NA,"2.22, 2.23","B17",NA,"20"
"Table 1 line 4 column B (Total hours, Independent sector)","6440",NA,NA,"2.22, 2.24","B17",NA,"22"
"Table 3B (Hhs receiving >10 hours and 6+ visits)","533",NA,NA,"2.1000000000000001","B12","52",NA
"RAP",NA,NA,NA,NA,NA,NA,NA
"Table R1 Box 1 (Total screened contacts passed on for further assessment or commissioning of service)","15075",NA,NA,NA,NA,NA,"158,196,234,272,302"
"Clients with completed assessments",NA,NA,NA,NA,NA,NA,NA
"Table A1 Page 1 line 1 col 1 (18-64 pd)","998",NA,NA,NA,NA,NA,"197"
"Table A1 Page 1 line 2 col 1 (18-64 ld)","180",NA,NA,NA,NA,NA,"235"
"Table A1 Page 1 line 3 col 1 (18-64 mh)","1570",NA,NA,NA,NA,NA,"273"
"Table A1 Page 1 lines 4 + 5 col 1 (18-64 sm & ovp)","44",NA,NA,NA,NA,NA,"303"
"Table A1 Page 1 line 6 cols 2 + 3 + 4 (65+ col totals)","6237",NA,NA,NA,NA,NA,"159"
"Table A2 Box 1 (Number of clients with scheduled reviews during year)","10776",NA,NA,NA,NA,NA,"160,198,236,274,304"
"Receiving services at 31 March 2002",NA,NA,NA,NA,NA,NA,NA
"Table P2s Page 1 line 1 col 2 (18-64 pd home care)","370",NA,NA,"2.29",NA,NA,NA
"Table P2s Page 1 line 1 col 3 (18-64 pd day care)","211",NA,NA,"2.4700000000000002",NA,NA,NA
"Table P2s Page 1 line 7 col 1 (18-64 pd direct payments)","17",NA,NA,"2.3399999999999999",NA,NA,NA
"Table P2s Page 1 line 2 col 2 (18-64 ld home care)","61",NA,NA,"2.27",NA,NA,NA
"Table P2s Page 1 line 2 col 3 (18-64 ld day care)","359",NA,NA,"2.4500000000000002",NA,NA,NA
"Table P2s Page 1 line 8 col 1 (18-64 ld direct payments)","3",NA,NA,"2.3199999999999998",NA,NA,NA
"Table P2s Page 1 line 3 col 2 (18-64 mh home care)","150",NA,NA,"2.2799999999999998",NA,NA,NA
"Table P2s Page 1 line 3 col 3 (18-64 mh day care)","379",NA,NA,"2.46",NA,NA,NA
"Table P2s Page 1 line 9 col 1 (18-64 mh direct payments)","1",NA,NA,"2.3300000000000001",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 2 (65+ home care)","3043",NA,NA,"2.2599999999999998",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 3 (65+ day care)","1702",NA,NA,"2.4399999999999999",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 4 (65+ meals)","1285",NA,NA,"2.5600000000000001",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 12 col 1 (65+ direct payments)","4",NA,NA,"2.3100000000000001",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 6 col 2 (all ages home care)","3608",NA,NA,"2.25",NA,NA,"19"
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 6 col 3 (all ages day care)","2660",NA,NA,"2.4300000000000002",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 6 col 4 (all ages meals)","1340",NA,NA,"2.5499999999999998",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 12 col 1 (all ages direct payments)","25",NA,NA,"2.30",NA,NA,NA
"Other",NA,NA,NA,NA,NA,NA,NA
"Total meals provided by LA per week on average during year","1479",NA,NA,"2.52A, 2.53",NA,NA,"21"
"Total meals provided by independent sector per week on average during year","84",NA,NA,"2.52A, 2.54",NA,NA,"23"
"Number of weeks supported residents spent in residential and nursing care (both permanent and temporary):",NA,NA,NA,NA,NA,NA,NA
"residents aged 65 and over in nursing placements","27782",NA,NA,"2.2999999999999998",NA,NA,"123"
"residents aged 65 and over in own provision residential placements","21949",NA,NA,"2.4, 2.5",NA,NA,"121"
"residents aged 65 and over in residential placements provided by others","43317",NA,NA,"2.4, 2.6",NA,NA,"124"
"pd residents aged 18-64 in nursing placements","1619",NA,NA,"2.1800000000000002",NA,NA,"165 pt"
"pd residents aged 18-64 in own provision residential placements",NA,NA,NA,"2.19, 2.20",NA,NA,"163"
"pd residents aged 18-64 in residential placements provided by others","1869",NA,NA,"2.19, 2.21",NA,NA,"165 pt"
"ld residents aged 18-64 in nursing placements",NA,NA,NA,"2.7999999999999998",NA,NA,"203 pt"
"ld residents aged 18-64 in own provision residential placements",NA,NA,NA,"2.9, 2.10",NA,NA,"201"
"ld residents aged 18-64 in residential placements provided by others","9658",NA,NA,"2.9, 2.11",NA,NA,"203 pt"
"mh residents aged 18-64 in nursing placements","231",NA,NA,"2.1299999999999999",NA,NA,"239 pt"
"mh residents aged 18-64 in own provision residential placements",NA,NA,NA,"2.14, 2.15",NA,NA,"241"
"mh residents aged 18-64 in residential placements provided by others","1969",NA,NA,"2.14, 2.16",NA,NA,"239 pt"
"Number of day care sessions per week on average during year",NA,NA,NA,NA,NA,NA,NA
"clients aged 65 and over, own provision","2384",NA,NA,"2.3500000000000001",NA,NA,"122"
"clients aged 65 and over, provision by others","1407",NA,NA,"2.3599999999999999",NA,NA,"125"
"pd clients aged 18-64, own provision","390",NA,NA,"2.4100000000000001",NA,NA,"164"
"pd clients aged 18-64, provision by others","178",NA,NA,"2.4199999999999999",NA,NA,"166"
"ld clients aged 18-64, own provision","2696",NA,NA,"2.3700000000000001",NA,NA,"202"
"ld clients aged 18-64, provision by others","726",NA,NA,"2.3799999999999999",NA,NA,"204"
"mh clients aged 18-64, own provision","290",NA,NA,"2.3900000000000001",NA,NA,"240"
"mh clients aged 18-64, provision by others","442",NA,NA,"2.40",NA,NA,"242"
"Referrals between 1 April 2001 and 31 March 2002",NA,NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","11039",NA,NA,NA,NA,NA,"158"
"Adults aged under 65 with a physical disability or sensory impairment","2102",NA,NA,NA,NA,NA,"196"
"Adults aged under 65 with learning disabilities","204",NA,NA,NA,NA,NA,"234"
"Adults aged under 65 with mental health needs","1730",NA,NA,NA,NA,NA,"272"
"Reviews completed",NA,NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","4886",NA,NA,NA,NA,NA,"160"
"Adults aged under 65 with a physical disability or sensory impairment","762",NA,NA,NA,NA,NA,"198"
"Adults aged under 65 with learning disabilities",NA,NA,NA,NA,NA,NA,"236"
"Adults aged under 65 with mental health needs",NA,NA,NA,NA,NA,NA,"274"
"Full cost paying residents and those wholly funded under Section 28(a) or preserved rights*",NA,NA,NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","328",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.5 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities",NA,NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.10 (adj)",NA,NA,NA
"- mental health problems",NA,NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.15 (adj)",NA,NA,NA
"- physical disabilities",NA,NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.20 (adj)",NA,NA,NA
"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","1871",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.6 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities","261",NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.11 (adj)",NA,NA,NA
"- mental health problems","52",NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.16 (adj)",NA,NA,NA
"- physical disabilities","9",NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.21 (adj)",NA,NA,NA
"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","901",NA,NA,"2.1 (adj), 2.2 (adj), 2.3 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities",NA,NA,NA,"2.1 (adj), 2.7 (adj), 2.8 (adj)",NA,NA,NA
"- mental health problems",NA,NA,NA,"2.1 (adj), 2.12 (adj), 2.13 (adj)",NA,NA,NA
"- physical disabilities","163",NA,NA,"2.1 (adj), 2.17 (adj), 2.18 (adj)",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column D.",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column E, give details below",NA,NA,NA,NA,NA,NA,NA
"Line no above","Source","Figure","Size of","Reason for adjustment",NA,NA,NA
NA,"figure","entered","adjustment",NA,NA,NA,NA
NA,NA,"above",NA,NA,NA,NA,NA
