"PSS EX1 Return for 2001-02","...2","...3","...4","...5","...6","...7","...8"
"- Foster placements (SSDA 903 placement codes F1 to F6)","464047",NA,NA,"1.1 (adj), 1.3 (adj)",NA,NA,"58"
"- Children's homes (SSDA 903 placement codes H3, H4)","506281",NA,NA,"1.1 (adj), 1.2 (adj)",NA,NA,"57"
NA,NA,NA,NA,NA,NA,NA,NA
"Services for adults and older people",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"HH1",NA,NA,NA,NA,NA,NA,NA
"Table 1 line 4 column A (Total hours, LA)","1158104.9715384615",NA,NA,"2.22, 2.23","B17",NA,"20"
"Table 1 line 4 column B (Total hours, Independent sector)","1683503.148269231",NA,NA,"2.22, 2.24","B17",NA,"22"
"Table 3B (Hhs receiving >10 hours and 6+ visits)","76682",NA,NA,"2.1000000000000001","B12","52",NA
"RAP",NA,NA,NA,NA,NA,NA,NA
"Table R1 Box 1 (Total screened contacts passed on for further assessment or commissioning of service)","1626920",NA,NA,NA,NA,NA,"158,196,234,272,302"
"Clients with completed assessments",NA,NA,NA,NA,NA,NA,NA
"Table A1 Page 1 line 1 col 1 (18-64 pd)","129348",NA,NA,NA,NA,NA,"197"
"Table A1 Page 1 line 2 col 1 (18-64 ld)","23778",NA,NA,NA,NA,NA,"235"
"Table A1 Page 1 line 3 col 1 (18-64 mh)","72798",NA,NA,NA,NA,NA,"273"
"Table A1 Page 1 lines 4 + 5 col 1 (18-64 sm & ovp)","28821",NA,NA,NA,NA,NA,"303"
"Table A1 Page 1 line 6 cols 2 + 3 + 4 (65+ col totals)","718191",NA,NA,NA,NA,NA,"159"
"Table A2 Box 1 (Number of clients with scheduled reviews during year)","916954",NA,NA,NA,NA,NA,"160,198,236,274,304"
"Receiving services at 31 March 2002",NA,NA,NA,NA,NA,NA,NA
"Table P2s Page 1 line 1 col 2 (18-64 pd home care)","42023",NA,NA,"2.29",NA,NA,NA
"Table P2s Page 1 line 1 col 3 (18-64 pd day care)","21578",NA,NA,"2.4700000000000002",NA,NA,NA
"Table P2s Page 1 line 7 col 1 (18-64 pd direct payments)","4329",NA,NA,"2.3399999999999999",NA,NA,NA
"Table P2s Page 1 line 2 col 2 (18-64 ld home care)","13171",NA,NA,"2.27",NA,NA,NA
"Table P2s Page 1 line 2 col 3 (18-64 ld day care)","49183",NA,NA,"2.4500000000000002",NA,NA,NA
"Table P2s Page 1 line 8 col 1 (18-64 ld direct payments)","448",NA,NA,"2.3199999999999998",NA,NA,NA
"Table P2s Page 1 line 3 col 2 (18-64 mh home care)","12053",NA,NA,"2.2799999999999998",NA,NA,NA
"Table P2s Page 1 line 3 col 3 (18-64 mh day care)","27177",NA,NA,"2.46",NA,NA,NA
"Table P2s Page 1 line 9 col 1 (18-64 mh direct payments)","108",NA,NA,"2.3300000000000001",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 2 (65+ home care)","320259",NA,NA,"2.2599999999999998",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 3 (65+ day care)","106751",NA,NA,"2.4399999999999999",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 4 (65+ meals)","131875",NA,NA,"2.5600000000000001",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 12 col 1 (65+ direct payments)","720",NA,NA,"2.3100000000000001",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 6 col 2 (all ages home care)","389696",NA,NA,"2.25",NA,NA,"19"
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 6 col 3 (all ages day care)","207670",NA,NA,"2.4300000000000002",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 6 col 4 (all ages meals)","147271",NA,NA,"2.5499999999999998",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 12 col 1 (all ages direct payments)","5468",NA,NA,"2.30",NA,NA,NA
"Other",NA,NA,NA,NA,NA,NA,NA
"Total meals provided by LA per week on average during year","281392",NA,NA,"2.52A, 2.53",NA,NA,"21"
"Total meals provided by independent sector per week on average during year","410780.93486590037",NA,NA,"2.52A, 2.54",NA,NA,"23"
"Number of weeks supported residents spent in residential and nursing care (both permanent and temporary):",NA,NA,NA,NA,NA,NA,NA
"residents aged 65 and over in nursing placements","3347372.3828571425",NA,NA,"2.2999999999999998",NA,NA,"123"
"residents aged 65 and over in own provision residential placements","1679314.3742857142",NA,NA,"2.4, 2.5",NA,NA,"121"
"residents aged 65 and over in residential placements provided by others","5464572.4285714282",NA,NA,"2.4, 2.6",NA,NA,"124"
"pd residents aged 18-64 in nursing placements","179839.66857142857",NA,NA,"2.1800000000000002",NA,NA,"165 pt"
"pd residents aged 18-64 in own provision residential placements","35850.48857142857",NA,NA,"2.19, 2.20",NA,NA,"163"
"pd residents aged 18-64 in residential placements provided by others","288345.98571428575",NA,NA,"2.19, 2.21",NA,NA,"165 pt"
"ld residents aged 18-64 in nursing placements","66800",NA,NA,"2.7999999999999998",NA,NA,"203 pt"
"ld residents aged 18-64 in own provision residential placements","245495.70714285714",NA,NA,"2.9, 2.10",NA,NA,"201"
"ld residents aged 18-64 in residential placements provided by others","1382361.1314285714",NA,NA,"2.9, 2.11",NA,NA,"203 pt"
"mh residents aged 18-64 in nursing placements","95644.124285714279",NA,NA,"2.1299999999999999",NA,NA,"239 pt"
"mh residents aged 18-64 in own provision residential placements","52000.279999999999",NA,NA,"2.14, 2.15",NA,NA,"241"
"mh residents aged 18-64 in residential placements provided by others","479455.9957142857",NA,NA,"2.14, 2.16",NA,NA,"239 pt"
"Number of day care sessions per week on average during year",NA,NA,NA,NA,NA,NA,NA
"clients aged 65 and over, own provision","187416.74000000002",NA,NA,"2.3500000000000001",NA,NA,"122"
"clients aged 65 and over, provision by others","98607.377564313079",NA,NA,"2.3599999999999999",NA,NA,"125"
"pd clients aged 18-64, own provision","61229.850000000006",NA,NA,"2.4100000000000001",NA,NA,"164"
"pd clients aged 18-64, provision by others","34565.694230979745",NA,NA,"2.4199999999999999",NA,NA,"166"
"ld clients aged 18-64, own provision","362642.11000000004",NA,NA,"2.3700000000000001",NA,NA,"202"
"ld clients aged 18-64, provision by others","99585.541970443344",NA,NA,"2.3799999999999999",NA,NA,"204"
"mh clients aged 18-64, own provision","47609.349999999999",NA,NA,"2.3900000000000001",NA,NA,"240"
"mh clients aged 18-64, provision by others","28837.168062397373",NA,NA,"2.40",NA,NA,"242"
"Referrals between 1 April 2001 and 31 March 2002",NA,NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","1116911.3",NA,NA,NA,NA,NA,"158"
"Adults aged under 65 with a physical disability or sensory impairment","224696.5",NA,NA,NA,NA,NA,"196"
"Adults aged under 65 with learning disabilities","38326.440000000002",NA,NA,NA,NA,NA,"234"
"Adults aged under 65 with mental health needs","136576.56",NA,NA,NA,NA,NA,"272"
"Reviews completed",NA,NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","431267.54999999999",NA,NA,NA,NA,NA,"160"
"Adults aged under 65 with a physical disability or sensory impairment","60800",NA,NA,NA,NA,NA,"198"
"Adults aged under 65 with learning disabilities","38129.699999999997",NA,NA,NA,NA,NA,"236"
"Adults aged under 65 with mental health needs","47724",NA,NA,NA,NA,NA,"274"
"Full cost paying residents and those wholly funded under Section 28(a) or preserved rights*",NA,NA,NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","109530.29000000001",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.5 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities","14533.76",NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.10 (adj)",NA,NA,NA
"- mental health problems","9186",NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.15 (adj)",NA,NA,NA
"- physical disabilities","1956.72",NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.20 (adj)",NA,NA,NA
"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","338990.19000000006",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.6 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities","206247.42999999999",NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.11 (adj)",NA,NA,NA
"- mental health problems","33098.718571428573",NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.16 (adj)",NA,NA,NA
"- physical disabilities","20955.004285714283",NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.21 (adj)",NA,NA,NA
"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","123334.3",NA,NA,"2.1 (adj), 2.2 (adj), 2.3 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities","5753.8999999999996",NA,NA,"2.1 (adj), 2.7 (adj), 2.8 (adj)",NA,NA,NA
"- mental health problems","4660.1428571428569",NA,NA,"2.1 (adj), 2.12 (adj), 2.13 (adj)",NA,NA,NA
"- physical disabilities","6106.4285714285716",NA,NA,"2.1 (adj), 2.17 (adj), 2.18 (adj)",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column D.",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column E, give details below",NA,NA,NA,NA,NA,NA,NA
"Line no above","Source","Figure","Size of","Reason for adjustment",NA,NA,NA
NA,"figure","entered","adjustment",NA,NA,NA,NA
NA,NA,"above",NA,NA,NA,NA,NA
