"PSS EX1 Return for 2001-02","...2","...3","...4","...5","...6","...7","...8"
"- Foster placements (SSDA 903 placement codes F1 to F6)","25863",NA,NA,"1.1 (adj), 1.3 (adj)",NA,NA,"58"
"- Children's homes (SSDA 903 placement codes H3, H4)","19142",NA,NA,"1.1 (adj), 1.2 (adj)",NA,NA,"57"
NA,NA,NA,NA,NA,NA,NA,NA
"Services for adults and older people",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"HH1",NA,NA,NA,NA,NA,NA,NA
"Table 1 line 4 column A (Total hours, LA)","52528",NA,NA,"2.22, 2.23","B17",NA,"20"
"Table 1 line 4 column B (Total hours, Independent sector)","155726",NA,NA,"2.22, 2.24","B17",NA,"22"
"Table 3B (Hhs receiving >10 hours and 6+ visits)","6869",NA,NA,"2.1000000000000001","B12","52",NA
"RAP",NA,NA,NA,NA,NA,NA,NA
"Table R1 Box 1 (Total screened contacts passed on for further assessment or commissioning of service)","105059",NA,NA,NA,NA,NA,"158,196,234,272,302"
"Clients with completed assessments",NA,NA,NA,NA,NA,NA,NA
"Table A1 Page 1 line 1 col 1 (18-64 pd)","7877",NA,NA,NA,NA,NA,"197"
"Table A1 Page 1 line 2 col 1 (18-64 ld)","1459",NA,NA,NA,NA,NA,"235"
"Table A1 Page 1 line 3 col 1 (18-64 mh)","8318",NA,NA,NA,NA,NA,"273"
"Table A1 Page 1 lines 4 + 5 col 1 (18-64 sm & ovp)","2347",NA,NA,NA,NA,NA,"303"
"Table A1 Page 1 line 6 cols 2 + 3 + 4 (65+ col totals)","30508",NA,NA,NA,NA,NA,"159"
"Table A2 Box 1 (Number of clients with scheduled reviews during year)","46418",NA,NA,NA,NA,NA,"160,198,236,274,304"
"Receiving services at 31 March 2002",NA,NA,NA,NA,NA,NA,NA
"Table P2s Page 1 line 1 col 2 (18-64 pd home care)","5508",NA,NA,"2.29",NA,NA,NA
"Table P2s Page 1 line 1 col 3 (18-64 pd day care)","1166",NA,NA,"2.4700000000000002",NA,NA,NA
"Table P2s Page 1 line 7 col 1 (18-64 pd direct payments)","287",NA,NA,"2.3399999999999999",NA,NA,NA
"Table P2s Page 1 line 2 col 2 (18-64 ld home care)","1415",NA,NA,"2.27",NA,NA,NA
"Table P2s Page 1 line 2 col 3 (18-64 ld day care)","2502",NA,NA,"2.4500000000000002",NA,NA,NA
"Table P2s Page 1 line 8 col 1 (18-64 ld direct payments)","7",NA,NA,"2.3199999999999998",NA,NA,NA
"Table P2s Page 1 line 3 col 2 (18-64 mh home care)","1128",NA,NA,"2.2799999999999998",NA,NA,NA
"Table P2s Page 1 line 3 col 3 (18-64 mh day care)","2425",NA,NA,"2.46",NA,NA,NA
"Table P2s Page 1 line 9 col 1 (18-64 mh direct payments)","2",NA,NA,"2.3300000000000001",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 2 (65+ home care)","22943",NA,NA,"2.2599999999999998",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 3 (65+ day care)","4798",NA,NA,"2.4399999999999999",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 6 col 4 (65+ meals)","8110",NA,NA,"2.5600000000000001",NA,NA,NA
"Table P2s Pages 3 + 5 + 7 line 12 col 1 (65+ direct payments)","22",NA,NA,"2.3100000000000001",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 6 col 2 (all ages home care)","30307",NA,NA,"2.25",NA,NA,"19"
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 6 col 3 (all ages day care)","10835",NA,NA,"2.4300000000000002",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 6 col 4 (all ages meals)","9506",NA,NA,"2.5499999999999998",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 + 9 line 12 col 1 (all ages direct payments)","322",NA,NA,"2.30",NA,NA,NA
"Other",NA,NA,NA,NA,NA,NA,NA
"Total meals provided by LA per week on average during year","19559",NA,NA,"2.52A, 2.53",NA,NA,"21"
"Total meals provided by independent sector per week on average during year","188365",NA,NA,"2.52A, 2.54",NA,NA,"23"
"Number of weeks supported residents spent in residential and nursing care (both permanent and temporary):",NA,NA,NA,NA,NA,NA,NA
"residents aged 65 and over in nursing placements","168753.85999999999",NA,NA,"2.2999999999999998",NA,NA,"123"
"residents aged 65 and over in own provision residential placements","44327.870000000003",NA,NA,"2.4, 2.5",NA,NA,"121"
"residents aged 65 and over in residential placements provided by others","236213.42999999999",NA,NA,"2.4, 2.6",NA,NA,"124"
"pd residents aged 18-64 in nursing placements","12238.139999999999",NA,NA,"2.1800000000000002",NA,NA,"165 pt"
"pd residents aged 18-64 in own provision residential placements","1028",NA,NA,"2.19, 2.20",NA,NA,"163"
"pd residents aged 18-64 in residential placements provided by others","19199.57",NA,NA,"2.19, 2.21",NA,NA,"165 pt"
"ld residents aged 18-64 in nursing placements","1269",NA,NA,"2.7999999999999998",NA,NA,"203 pt"
"ld residents aged 18-64 in own provision residential placements","13144.57",NA,NA,"2.9, 2.10",NA,NA,"201"
"ld residents aged 18-64 in residential placements provided by others","107072.14",NA,NA,"2.9, 2.11",NA,NA,"203 pt"
"mh residents aged 18-64 in nursing placements","7120.29",NA,NA,"2.1299999999999999",NA,NA,"239 pt"
"mh residents aged 18-64 in own provision residential placements","7581",NA,NA,"2.14, 2.15",NA,NA,"241"
"mh residents aged 18-64 in residential placements provided by others","76222.570000000007",NA,NA,"2.14, 2.16",NA,NA,"239 pt"
"Number of day care sessions per week on average during year",NA,NA,NA,NA,NA,NA,NA
"clients aged 65 and over, own provision","11223",NA,NA,"2.3500000000000001",NA,NA,"122"
"clients aged 65 and over, provision by others","7255",NA,NA,"2.3599999999999999",NA,NA,"125"
"pd clients aged 18-64, own provision","2544",NA,NA,"2.4100000000000001",NA,NA,"164"
"pd clients aged 18-64, provision by others","1164",NA,NA,"2.4199999999999999",NA,NA,"166"
"ld clients aged 18-64, own provision","12727",NA,NA,"2.3700000000000001",NA,NA,"202"
"ld clients aged 18-64, provision by others","4086",NA,NA,"2.3799999999999999",NA,NA,"204"
"mh clients aged 18-64, own provision","3406",NA,NA,"2.3900000000000001",NA,NA,"240"
"mh clients aged 18-64, provision by others","5628",NA,NA,"2.40",NA,NA,"242"
"Referrals between 1 April 2001 and 31 March 2002",NA,NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","56554",NA,NA,NA,NA,NA,"158"
"Adults aged under 65 with a physical disability or sensory impairment","14633",NA,NA,NA,NA,NA,"196"
"Adults aged under 65 with learning disabilities","4300",NA,NA,NA,NA,NA,"234"
"Adults aged under 65 with mental health needs","15412",NA,NA,NA,NA,NA,"272"
"Reviews completed",NA,NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","22822",NA,NA,NA,NA,NA,"160"
"Adults aged under 65 with a physical disability or sensory impairment","5034",NA,NA,NA,NA,NA,"198"
"Adults aged under 65 with learning disabilities","3321",NA,NA,NA,NA,NA,"236"
"Adults aged under 65 with mental health needs","5502",NA,NA,NA,NA,NA,"274"
"Full cost paying residents and those wholly funded under Section 28(a) or preserved rights*",NA,NA,NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","1249",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.5 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities","3462",NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.10 (adj)",NA,NA,NA
"- mental health problems","67",NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.15 (adj)",NA,NA,NA
"- physical disabilities","0",NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.20 (adj)",NA,NA,NA
"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","9192",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.6 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities","12795",NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.11 (adj)",NA,NA,NA
"- mental health problems","507",NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.16 (adj)",NA,NA,NA
"- physical disabilities","147",NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.21 (adj)",NA,NA,NA
"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","6773",NA,NA,"2.1 (adj), 2.2 (adj), 2.3 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities","428",NA,NA,"2.1 (adj), 2.7 (adj), 2.8 (adj)",NA,NA,NA
"- mental health problems","911",NA,NA,"2.1 (adj), 2.12 (adj), 2.13 (adj)",NA,NA,NA
"- physical disabilities","22",NA,NA,"2.1 (adj), 2.17 (adj), 2.18 (adj)",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column D.",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column E, give details below",NA,NA,NA,NA,NA,NA,NA
"Line no above","Source","Figure","Size of","Reason for adjustment",NA,NA,NA
NA,"figure","entered","adjustment",NA,NA,NA,NA
NA,NA,"above",NA,NA,NA,NA,NA
