"PSS EX1 Return for 2005-06 Draft 3","...2","...3","...4","...5","...6"
"pd residents aged 18-64 in residential placements provided by others","282161.08857142867",NA,NA,"2.19, 2.21",NA
"ld residents aged 18-64 in nursing placements","106538.16",NA,NA,"2.7999999999999998",NA
"ld residents aged 18-64 in own provision residential placements","205013.87571428571",NA,NA,"2.9, 2.10",NA
"ld residents aged 18-64 in residential placements provided by others","1612748.4657142858",NA,NA,"2.9, 2.11",NA
"mh residents aged 18-64 in nursing placements","125413.24857142859",NA,NA,"2.1299999999999999",NA
"mh residents aged 18-64 in own provision residential placements","22502.295714285712",NA,NA,"2.14, 2.15",NA
"mh residents aged 18-64 in residential placements provided by others","488463.51857142849",NA,NA,"2.14, 2.16",NA
"Number of day care sessions per week on average during the year",NA,NA,NA,NA,NA
"clients aged 65 and over, own provision","165157.39000000001",NA,NA,"2.34A,2.35",NA
"clients aged 65 and over, provision by others","112110.89999999999",NA,NA,"2.34A,2.36",NA
"pd clients aged 18-64, own provision","42266.716923076921",NA,NA,"2.40A,2.41",NA
"pd clients aged 18-64, provision by others","20607.07",NA,NA,"2.40A,2.42",NA
"ld clients aged 18-64, own provision","260457.31538461539",NA,NA,"2.36A,2.37",NA
"ld clients aged 18-64, provision by others","81890.630000000005",NA,NA,"2.36A,2.38",NA
"mh clients aged 18-64, own provision","33263.948999230772",NA,NA,"2.38A,2.39",NA
"mh clients aged 18-64, provision by others","41027.959999999999",NA,NA,"2.38A,2.40",NA
"Referrals between 1 April 2005 and 31 March 2006",NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","778746",NA,NA,NA,NA
"Adults aged under 65 with a physical disability or sensory impairment","169720.88275862069",NA,NA,NA,NA
"Adults aged under 65 with learning disabilities","16455.565517241379",NA,NA,NA,NA
"Adults aged under 65 with mental health needs","103922.55172413793",NA,NA,NA,NA
"Reviews completed between 1 April 2005 and 31 March 2006",NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","1020636.566134843",NA,NA,NA,NA
"Adults aged under 65 with a physical disability or sensory impairment","147494.14330218069",NA,NA,NA,NA
"Adults aged under 65 with learning disabilities","82641.712262815068",NA,NA,NA,NA
"Adults aged under 65 with mental health needs","104178.57830016123",NA,NA,NA,NA
"Full cost paying residents*",NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","84648.417142857143",NA,NA,"2.1, 2.1A, 2.2, 2.2A, 2.4, 2.5","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","259",NA,NA,"2.1, 2.1A, 2.7, 2.7A, 2.9, 2.10","B12"
"- mental health problems","283",NA,NA,"2.1, 2.1A, 2.12, 2.12A, 2.14, 2.15","B12"
"- physical disabilities","230",NA,NA,"2.1, 2.1A, 2.17, 2.17A, 2.19, 2.20","B12"
"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","257025.97285714286",NA,NA,"2.1, 2.1A, 2.2, 2.2A, 2.4, 2.6","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","3187.7142857142858",NA,NA,"2.1, 2.1A, 2.7, 2.7A, 2.9, 2.11","B12"
"- mental health problems","2529.3899999999999",NA,NA,"2.1, 2.1A, 2.12, 2.12A, 2.14, 2.16","B12"
"- physical disabilities","2755.0142857142855",NA,NA,"2.1, 2.1A, 2.17, 2.17A, 2.19, 2.21","B12"
"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","111207.81857142858",NA,NA,"2.1, 2.1A, 2.2, 2.2A, 2.3","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","282",NA,NA,"2.1, 2.1A. 2.7, 2.7A, 2.8","B12"
"- mental health problems","1202.4000000000001",NA,NA,"2.1, 2.1A, 2.12, 2.12A, 2.13","B12"
"- physical disabilities","2346",NA,NA,"2.1, 2.1A, 2.17, 2.17A, 2.18","B12"
"Residents wholly funded under Section 28(a)*",NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","2129.8571428571431",NA,NA,"2.1, 2.2, 2.4, 2.5","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","3726",NA,NA,"2.1, 2.7, 2.9, 2.10","B12"
"- mental health problems","0",NA,NA,"2.1, 2.12, 2.14, 2.15","B12"
"- physical disabilities","132",NA,NA,"2.1, 2.17, 2.19, 2.20","B12"
"Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","41143.139999999999",NA,NA,"2.1, 2.2, 2.4, 2.6","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","155963.99857142859",NA,NA,"2.1, 2.7, 2.9, 2.11","B12"
"- mental health problems","11761",NA,NA,"2.1, 2.12, 2.14, 2.16","B12"
"- physical disabilities","1157",NA,NA,"2.1, 2.17, 2.19, 2.21","B12"
"Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by",NA,NA,NA,NA,NA
"- residents aged 65 and over","24096",NA,NA,"2.1, 2.2, 2.3","B12"
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA
"- learning disabilities","7582",NA,NA,"2.1, 2.7, 2.8","B12"
"- mental health problems","3604",NA,NA,"2.1, 2.12, 2.13","B12"
"- physical disabilities","2848",NA,NA,"2.1, 2.17, 2.18","B12"
"Actual hours of home care provided during the year",NA,NA,NA,NA,NA
"- provided by the Council","35949149.405000001",NA,NA,"2.22A, 2.23A",NA
"- provided by the independent sector","94440394.998432547",NA,NA,"2.22A, 2.24A",NA
"Receiving direct payments at 31 March 2006",NA,NA,NA,NA,NA
"Young carers (aged 16-17)","240",NA,NA,"1.8",NA
"Carers (for carers services)","5105",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column D.",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column E, give details below",NA,NA,NA,NA,NA
"Line no above","Source","Figure","Size of","Reason for adjustment",NA
NA,"figure","entered","adjustment",NA,NA
NA,NA,"above",NA,NA,NA
